date;bugs;new_bugs;new_reliability_rating;new_reliability_remediation_effort;reliability_rating;reliability_remediation_effort;new_security_rating;new_security_remediation_effort;new_vulnerabilities;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;new_code_smells;new_maintainability_rating;new_sqale_debt_ratio;new_technical_debt;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;branch_coverage;conditions_by_line;conditions_to_cover;coverage;coverage_line_hits_data;covered_conditions_by_line;executable_lines_data;it_branch_coverage;it_conditions_by_line;it_conditions_to_cover;it_coverage;it_coverage_line_hits_data;it_covered_conditions_by_line;it_line_coverage;it_lines_to_cover;it_uncovered_conditions;it_uncovered_lines;line_coverage;lines_to_cover;new_branch_coverage;new_conditions_to_cover;new_coverage;new_it_branch_coverage;new_it_conditions_to_cover;new_it_coverage;new_it_line_coverage;new_it_lines_to_cover;new_it_uncovered_conditions;new_it_uncovered_lines;new_line_coverage;new_lines_to_cover;new_overall_branch_coverage;new_overall_conditions_to_cover;new_overall_coverage;new_overall_line_coverage;new_overall_lines_to_cover;new_overall_uncovered_conditions;new_overall_uncovered_lines;new_uncovered_conditions;new_uncovered_lines;overall_branch_coverage;overall_conditions_by_line;overall_conditions_to_cover;overall_coverage;overall_coverage_line_hits_data;overall_covered_conditions_by_line;overall_line_coverage;overall_lines_to_cover;overall_uncovered_conditions;overall_uncovered_lines;skipped_tests;test_data;test_errors;test_execution_time;test_failures;test_success_density;tests;uncovered_conditions;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;duplications_data;new_duplicated_blocks;new_duplicated_lines;new_duplicated_lines_density;classes;comment_lines;comment_lines_data;comment_lines_density;directories;files;functions;generated_lines;generated_ncloc;lines;ncloc;ncloc_data;ncloc_language_distribution;new_lines;projects;statements;team_size;class_complexity;class_complexity_distribution;cognitive_complexity;complexity;complexity_in_classes;complexity_in_functions;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;new_blocker_violations;new_critical_violations;new_info_violations;new_major_violations;new_minor_violations;new_violations;open_issues;reopened_issues;violations;wont_fix_issues;commented_out_code_lines;public_api;public_documented_api_density;public_undocumented_api
2015-12-25;382.0;;;;5.0;3127.0;;;;2.0;2460.0;225.0;13985.0;5171580.0;0.0;;;;;2.8;146060.0;1.0;0.8472845822746626;;;;0.0;;;;;;;;;;;;;;0.0;105134.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105134.0;489.0;104.0;9365.0;3.4;;;;;1563.0;40121.0;;18.9;110.0;1092.0;17535.0;;;277069.0;172386.0;;java=172386;;;88612.0;;30.4;;38097.0;47461.0;;;43.5;"0=326;5=188;10=172;20=113;30=149;60=51;90=93";2.6;"1=10426;2=3459;4=1186;6=526;8=282;10=182;12=494";137.0;0.0;1191.0;0.0;932.0;5068.0;7264.0;;;;;;;14592.0;0.0;14592.0;0.0;;;;
2016-01-01;378.0;;;;5.0;3111.0;;;;2.0;2460.0;225.0;13988.0;5172960.0;0.0;;;0.0;;2.8;146081.0;1.0;0.847180337756333;;;;0.0;;;;;;;;;;;;;;0.0;105159.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105159.0;489.0;104.0;9365.0;3.4;;;;;1563.0;40117.0;;18.9;110.0;1092.0;17539.0;;;277109.0;172432.0;;java=172432;;;88638.0;;30.4;;38105.0;47475.0;;;43.5;"0=326;5=188;10=171;20=114;30=148;60=52;90=93";2.6;"1=10428;2=3460;4=1186;6=525;8=284;10=183;12=493";137.0;0.0;1193.0;0.0;933.0;5064.0;7264.0;;;;;;;14591.0;0.0;14591.0;0.0;;;;
2016-01-08;380.0;;;;5.0;3133.0;;;;2.0;2460.0;225.0;13927.0;5172870.0;0.0;;;0.0;;2.8;145923.0;1.0;0.8462787582135256;;;;0.0;;;;;;;;;;;;;;0.0;105155.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105155.0;489.0;104.0;9375.0;3.4;;;;;1563.0;40117.0;;18.9;110.0;1092.0;17539.0;;;277105.0;172429.0;;java=172429;;;88631.0;;30.4;;38104.0;47474.0;;;43.5;"0=326;5=188;10=171;20=114;30=148;60=52;90=93";2.6;"1=10428;2=3460;4=1186;6=524;8=285;10=183;12=493";138.0;0.0;1192.0;0.0;933.0;5064.0;7205.0;;;;;;;14532.0;0.0;14532.0;0.0;;;;
2016-01-15;380.0;;;;5.0;3133.0;;;;2.0;2460.0;225.0;13938.0;5177220.0;0.0;;;0.0;;2.8;146044.0;1.0;0.8462688469873794;;;;0.0;;;;;;;;;;;;;;0.0;105256.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105256.0;491.0;106.0;9421.0;3.4;;;;;1563.0;40125.0;;18.9;110.0;1092.0;17542.0;;;277267.0;172574.0;;java=172574;;;88721.0;;30.4;;38181.0;47525.0;;;43.5;"0=326;5=188;10=171;20=114;30=148;60=52;90=93";2.7;"1=10429;2=3460;4=1186;6=522;8=286;10=183;12=496";138.0;0.0;1197.0;0.0;933.0;5065.0;7210.0;;;;;;;14543.0;0.0;14543.0;0.0;;;;
2016-01-22;380.0;;;;5.0;3133.0;;;;2.0;2460.0;225.0;13937.0;5177580.0;0.0;;;0.0;;2.8;146036.0;1.0;0.8461636517446375;;;;0.0;;;;;;;;;;;;;;0.0;105264.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105264.0;491.0;106.0;9421.0;3.4;;;;;1563.0;40125.0;;18.9;110.0;1092.0;17544.0;;;277278.0;172586.0;;java=172586;;;88727.0;;30.4;;38181.0;47527.0;;;43.5;"0=326;5=188;10=171;20=114;30=148;60=52;90=93";2.7;"1=10430;2=3460;4=1187;6=523;8=285;10=183;12=496";138.0;0.0;1196.0;0.0;933.0;5065.0;7210.0;;;;;;;14542.0;0.0;14542.0;0.0;;;;
2016-01-29;380.0;;;;5.0;3133.0;;;;2.0;2460.0;225.0;13932.0;5178090.0;0.0;;;0.0;;2.8;146024.0;1.0;0.8460107877615105;;;;0.0;;;;;;;;;;;;;;0.0;105270.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105270.0;491.0;106.0;9421.0;3.4;;;;;1563.0;40129.0;;18.9;110.0;1092.0;17545.0;;;277297.0;172603.0;;java=172603;;;88733.0;;30.4;;38181.0;47536.0;;;43.5;"0=326;5=188;10=171;20=114;30=148;60=52;90=93";2.7;"1=10431;2=3460;4=1187;6=523;8=285;10=183;12=496";138.0;0.0;1196.0;0.0;937.0;5057.0;7209.0;;;;;;;14537.0;0.0;14537.0;0.0;;;;
2016-02-05;380.0;;;;5.0;3133.0;;;;2.0;2460.0;225.0;13935.0;5182830.0;0.0;;;0.0;;2.8;146042.0;1.0;0.845341251787151;;;;0.0;;;;;;;;;;;;;;0.0;105326.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105326.0;491.0;106.0;9421.0;3.4;;;;;1566.0;40198.0;;18.9;110.0;1095.0;17564.0;;;277642.0;172761.0;;java=172761;;;88789.0;;30.4;;38201.0;47567.0;;;43.4;"0=327;5=190;10=171;20=114;30=148;60=52;90=93";2.6;"1=10440;2=3469;4=1187;6=523;8=285;10=183;12=496";138.0;0.0;1196.0;0.0;937.0;5060.0;7209.0;;;;;;;14540.0;0.0;14540.0;0.0;;;;
2016-02-12;380.0;;;;5.0;3133.0;;;;2.0;2460.0;225.0;13936.0;5183340.0;0.0;;;0.0;;2.8;146072.0;1.0;0.8454317100556784;;;;0.0;;;;;;;;;;;;;;0.0;105338.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105338.0;491.0;106.0;9421.0;3.4;;;;;1567.0;40210.0;;18.9;110.0;1095.0;17565.0;;;277674.0;172778.0;;java=172778;;;88799.0;;30.4;;38206.0;47570.0;;;43.4;"0=327;5=190;10=171;20=114;30=148;60=52;90=93";2.6;"1=10441;2=3469;4=1186;6=524;8=285;10=183;12=496";138.0;0.0;1196.0;0.0;937.0;5061.0;7209.0;;;;;;;14541.0;0.0;14541.0;0.0;;;;
2016-02-19;380.0;;;;5.0;3133.0;;;;2.0;2460.0;225.0;13936.0;5183400.0;0.0;;;0.0;;2.8;146075.0;1.0;0.8454392869545087;;;;0.0;;;;;;;;;;;;;;0.0;105338.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105338.0;491.0;106.0;9421.0;3.4;;;;;1567.0;40210.0;;18.9;110.0;1095.0;17565.0;;;277676.0;172780.0;;java=172780;;;88796.0;;30.4;;38209.0;47566.0;;;43.4;"0=327;5=190;10=171;20=114;30=148;60=52;90=93";2.6;"1=10441;2=3469;4=1186;6=524;8=285;10=183;12=496";138.0;0.0;1196.0;0.0;937.0;5062.0;7208.0;;;;;;;14541.0;0.0;14541.0;0.0;;;;
2016-02-26;380.0;;;;5.0;3133.0;;;;2.0;2460.0;225.0;13936.0;5183610.0;0.0;;;0.0;;2.8;146075.0;1.0;0.8454050362585148;;;;0.0;;;;;;;;;;;;;;0.0;105343.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105343.0;491.0;106.0;9421.0;3.4;;;;;1567.0;40210.0;;18.9;110.0;1095.0;17565.0;;;277683.0;172787.0;;java=172787;;;88801.0;;30.4;;38212.0;47568.0;;;43.4;"0=327;5=190;10=171;20=114;30=148;60=52;90=93";2.6;"1=10441;2=3469;4=1185;6=524;8=286;10=183;12=496";138.0;0.0;1196.0;0.0;937.0;5062.0;7208.0;;;;;;;14541.0;0.0;14541.0;0.0;;;;
