date;bugs;new_bugs;new_reliability_rating;new_reliability_remediation_effort;reliability_rating;reliability_remediation_effort;new_security_rating;new_security_remediation_effort;new_vulnerabilities;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;new_code_smells;new_maintainability_rating;new_sqale_debt_ratio;new_technical_debt;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;branch_coverage;conditions_by_line;conditions_to_cover;coverage;coverage_line_hits_data;covered_conditions_by_line;executable_lines_data;it_branch_coverage;it_conditions_by_line;it_conditions_to_cover;it_coverage;it_coverage_line_hits_data;it_covered_conditions_by_line;it_line_coverage;it_lines_to_cover;it_uncovered_conditions;it_uncovered_lines;line_coverage;lines_to_cover;new_branch_coverage;new_conditions_to_cover;new_coverage;new_it_branch_coverage;new_it_conditions_to_cover;new_it_coverage;new_it_line_coverage;new_it_lines_to_cover;new_it_uncovered_conditions;new_it_uncovered_lines;new_line_coverage;new_lines_to_cover;new_overall_branch_coverage;new_overall_conditions_to_cover;new_overall_coverage;new_overall_line_coverage;new_overall_lines_to_cover;new_overall_uncovered_conditions;new_overall_uncovered_lines;new_uncovered_conditions;new_uncovered_lines;overall_branch_coverage;overall_conditions_by_line;overall_conditions_to_cover;overall_coverage;overall_coverage_line_hits_data;overall_covered_conditions_by_line;overall_line_coverage;overall_lines_to_cover;overall_uncovered_conditions;overall_uncovered_lines;skipped_tests;test_data;test_errors;test_execution_time;test_failures;test_success_density;tests;uncovered_conditions;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;duplications_data;new_duplicated_blocks;new_duplicated_lines;new_duplicated_lines_density;classes;comment_lines;comment_lines_data;comment_lines_density;directories;files;functions;generated_lines;generated_ncloc;lines;ncloc;ncloc_data;ncloc_language_distribution;new_lines;projects;statements;team_size;class_complexity;class_complexity_distribution;cognitive_complexity;complexity;complexity_in_classes;complexity_in_functions;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;new_blocker_violations;new_critical_violations;new_info_violations;new_major_violations;new_minor_violations;new_violations;open_issues;reopened_issues;violations;wont_fix_issues;commented_out_code_lines;public_api;public_documented_api_density;public_undocumented_api
2017-07-28;172.0;;;;5.0;2158.0;;;;5.0;760.0;51.0;4025.0;2298570.0;0.0;;;;;1.8;42454.0;1.0;0.5540923269685065;;;;0.0;;;;;;;;;;;;;;0.0;40655.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40655.0;298.0;137.0;6749.0;5.5;;;;;949.0;9881.0;;11.4;275.0;942.0;6549.0;;;122952.0;76619.0;;"java=70552;js=1565;xml=4502";;;34396.0;;18.8;;17591.0;18393.0;;;21.9;"0=344;5=116;10=169;20=65;30=71;60=35;90=39";2.7;"1=2906;2=991;4=347;6=166;8=85;10=61;12=176";19.0;0.0;745.0;0.0;121.0;1725.0;1638.0;;;;;;;4248.0;0.0;4248.0;0.0;;;;
2017-08-04;193.0;;;;5.0;2350.0;;;;5.0;820.0;55.0;4207.0;2293320.0;0.0;;;0.0;;1.9;44192.0;1.0;0.5780963842813039;;;;0.0;;;;;;;;;;;;;;0.0;40665.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40665.0;298.0;137.0;6749.0;5.5;;;;;951.0;9874.0;;11.4;275.0;944.0;6551.0;;;122782.0;76444.0;;"java=70573;js=1565;xml=4306";;;34404.0;;18.8;;17591.0;18395.0;;;21.9;"0=346;5=116;10=169;20=65;30=71;60=35;90=39";2.7;"1=2908;2=991;4=347;6=166;8=85;10=61;12=176";26.0;0.0;755.0;0.0;121.0;1803.0;1750.0;;;;;;;4455.0;0.0;4455.0;0.0;;;;
2017-08-11;192.0;;;;5.0;2345.0;;;;5.0;820.0;55.0;4057.0;2287500.0;0.0;;;0.0;;1.9;42833.0;1.0;0.561744262295082;;;;0.0;;;;;;;;;;;;;;0.0;42382.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42382.0;298.0;135.0;6888.0;5.6;;;;;951.0;10157.0;;11.8;275.0;944.0;6551.0;;;122132.0;76250.0;;"java=70376;js=1604;xml=4270";;;34404.0;;18.8;;17591.0;18395.0;;;21.9;"0=346;5=116;10=169;20=65;30=71;60=35;90=39";2.7;"1=2908;2=991;4=347;6=166;8=85;10=61;12=176";26.0;0.0;625.0;0.0;121.0;1800.0;1732.0;;;;;;;4304.0;0.0;4304.0;0.0;;;;
2017-08-18;192.0;;;;5.0;2345.0;;;;5.0;820.0;55.0;4057.0;2287500.0;0.0;;;0.0;;1.9;42833.0;1.0;0.561744262295082;;;;0.0;;;;;;;;;;;;;;0.0;42382.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42382.0;298.0;135.0;6888.0;5.6;;;;;951.0;10157.0;;11.8;275.0;944.0;6551.0;;;122132.0;76250.0;;"java=70376;js=1604;xml=4270";;;34404.0;;18.8;;17591.0;18395.0;;;21.9;"0=346;5=116;10=169;20=65;30=71;60=35;90=39";2.7;"1=2908;2=991;4=347;6=166;8=85;10=61;12=176";26.0;0.0;625.0;0.0;121.0;1800.0;1732.0;;;;;;;4304.0;0.0;4304.0;0.0;;;;
2017-08-25;192.0;;;;5.0;2345.0;;;;5.0;820.0;55.0;4057.0;2287500.0;0.0;;;0.0;;1.9;42833.0;1.0;0.561744262295082;;;;0.0;;;;;;;;;;;;;;0.0;42382.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42382.0;298.0;135.0;6888.0;5.6;;;;;951.0;10157.0;;11.8;275.0;944.0;6551.0;;;122132.0;76250.0;;"java=70376;js=1604;xml=4270";;;34404.0;;18.8;;17591.0;18395.0;;;21.9;"0=346;5=116;10=169;20=65;30=71;60=35;90=39";2.7;"1=2908;2=991;4=347;6=166;8=85;10=61;12=176";26.0;0.0;625.0;0.0;121.0;1800.0;1732.0;;;;;;;4304.0;0.0;4304.0;0.0;;;;
2017-09-01;192.0;;;;5.0;2345.0;;;;5.0;820.0;55.0;4076.0;2290380.0;0.0;;;0.0;;1.9;42911.0;1.0;0.5620595709008985;;;;0.0;;;;;;;;;;;;;;0.0;42430.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42430.0;300.0;136.0;6864.0;5.6;;;;;951.0;10165.0;;11.7;275.0;944.0;6554.0;;;122249.0;76346.0;;"java=70472;js=1604;xml=4270";;;34452.0;;18.8;;17646.0;18427.0;;;21.9;"0=346;5=116;10=168;20=66;30=70;60=35;90=40";2.7;"1=2906;2=994;4=347;6=165;8=87;10=61;12=177";26.0;0.0;627.0;0.0;125.0;1804.0;1741.0;;;;;;;4323.0;0.0;4323.0;0.0;;;;
2017-09-08;194.0;;;;5.0;2370.0;;;;5.0;820.0;55.0;4092.0;2295660.0;0.0;;;0.0;;1.9;43112.0;1.0;0.5633935338856799;;;;0.0;;;;;;;;;;;;;;0.0;42505.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42505.0;300.0;136.0;6868.0;5.6;;;;;951.0;10197.0;;11.8;275.0;944.0;6569.0;;;122475.0;76522.0;;"java=70596;js=1604;xml=4322";;;34513.0;;18.9;;17676.0;18468.0;;;22.0;"0=345;5=117;10=165;20=67;30=72;60=35;90=40";2.7;"1=2914;2=994;4=350;6=167;8=88;10=60;12=178";27.0;0.0;627.0;0.0;125.0;1805.0;1757.0;;;;;;;4341.0;0.0;4341.0;0.0;;;;
2017-09-15;195.0;;;;5.0;2385.0;;;;5.0;810.0;54.0;4099.0;2292540.0;0.0;;;0.0;;1.9;43211.0;1.0;0.5654557826690046;;;;0.0;;;;;;;;;;;;;;0.0;42508.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42508.0;305.0;139.0;6929.0;5.7;;;;;950.0;10204.0;;11.8;275.0;943.0;6566.0;;;122376.0;76418.0;;"java=70615;js=1604;xml=4199";;;34545.0;;18.9;;17698.0;18476.0;;;22.0;"0=344;5=116;10=166;20=67;30=72;60=35;90=40";2.7;"1=2910;2=992;4=351;6=169;8=88;10=60;12=178";27.0;0.0;628.0;0.0;127.0;1809.0;1757.0;;;;;;;4348.0;0.0;4348.0;0.0;;;;
2017-09-22;195.0;;;;5.0;2385.0;;;;5.0;810.0;54.0;4101.0;2293260.0;0.0;;;0.0;;1.9;43238.0;1.0;0.565631459145496;;;;0.0;;;;;;;;;;;;;;0.0;42519.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42519.0;305.0;139.0;6929.0;5.7;;;;;951.0;10205.0;;11.8;275.0;944.0;6567.0;;;122405.0;76442.0;;"java=70636;js=1604;xml=4202";;;34554.0;;18.9;;17707.0;18478.0;;;22.0;"0=345;5=116;10=166;20=67;30=72;60=35;90=40";2.7;"1=2911;2=992;4=351;6=169;8=87;10=61;12=178";27.0;0.0;629.0;0.0;127.0;1810.0;1757.0;;;;;;;4350.0;0.0;4350.0;0.0;;;;
2017-09-29;193.0;;;;5.0;2368.0;;;;5.0;810.0;54.0;4155.0;2316510.0;0.0;;;0.0;;1.9;44308.0;1.0;0.5738114663869355;;;;0.0;;;;;;;;;;;;;;0.0;42930.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42930.0;307.0;141.0;6968.0;5.6;;;;;968.0;10241.0;;11.7;276.0;961.0;6621.0;;;123411.0;77217.0;;"java=71411;js=1604;xml=4202";;;34892.0;;18.6;;17788.0;18568.0;;;21.6;"0=360;5=117;10=167;20=66;30=72;60=36;90=40";2.7;"1=2940;2=1016;4=352;6=169;8=87;10=62;12=177";27.0;0.0;653.0;0.0;127.0;1844.0;1751.0;;;;;;;4402.0;0.0;4402.0;0.0;;;;
