Project_Name;date;Resource_Handling;Assignment;Exception_Handling;Misused_Functionality;Synchronization;Null_Pointer;Logging;Complexity;Cohesion;Coupling;Encapsulation;Resource_Handling_Eval;Assignment_Eval;Exception_Handling_Eval;Misused_Functionality_Eval;Synchronization_Eval;Null_Pointer_Eval;Logging_Eval;Complexity_Eval;Cohesion_Eval;Coupling_Eval;Encapsulation_Eval;Confidentiality_Eval;Integrity_Eval;Availability_Eval;Security_Index
0 incubator-dubbo-a2fbe63fc283ef35b1ea72f192f914330b38e1c1;28/7/2017;0.003498662;0.004181431;0.000235679;0.000494126;0.000085315;0.000034526;0.000110834;64.18999754;447.3836966;23.22624912;4.324529136;0.990155362;1;0.941080177;0.973993373;1;1;0.861457103;0;0.466441374;0.324634847;0.155446173;0.889924654;0.887963063;0.887543201;0.888388125
1 incubator-dubbo-5d16d53f8c5a646d95f0102d4db00a4a09ee9f9a;4/8/2017;0.003499933;0.004182658;0.000235914;0.000494094;0.000085309;0.000034524;0.000111077;64.18734325;447.3544031;23.22518631;4.324595925;0.990143967;1;0.941021495;0.973995078;1;1;0.861153467;0;0.466453493;0.32465352;0.155446173;0.889898102;0.887940397;0.887509022;0.888360329
2 incubator-dubbo-49bdca9132fe5ae0a16bd0494d300747ade935fb;11/8/2017;0.003499719;0.004182402;0.0002359;0.000493813;0.000085304;0.000034522;0.000111070;64.18562319;447.3315169;23.2243745;4.324854958;0.990145889;1;0.94102511;0.974009838;1;1;0.861161977;0;0.466462998;0.324667101;0.155406478;0.889900002;0.887943317;0.887511848;0.888362877
3 incubator-dubbo-49bdca9132fe5ae0a16bd0494d300747ade935fc;18/8/2017;0.003499719;0.004182402;0.0002359;0.000493813;0.000085304;0.000034522;0.000111070;64.18562319;447.3315169;23.2243745;4.324854958;0.990145889;1;0.94102511;0.974009838;1;1;0.861161977;0;0.466462998;0.324667101;0.155406478;0.889900002;0.887943317;0.887511848;0.888362877
4 incubator-dubbo-49bdca9132fe5ae0a16bd0494d300747ade935fd;25/8/2017;0.003499719;0.004182402;0.0002359;0.000493813;0.000085304;0.000034522;0.000111070;64.18562319;447.3315169;23.2243745;4.324854958;0.990145889;1;0.94102511;0.974009838;1;1;0.861161977;0;0.466462998;0.324667101;0.155406478;0.889900002;0.887943317;0.887511848;0.888362877
5 incubator-dubbo-6b8606fe568b2585ea000c7c720da85b42dc093f;1/9/2017;0.003499323;0.004186283;0.000236823;0.000494151;0.000085276;0.000034511;0.000111034;64.23040362;447.9461292;23.23135816;4.324969853;0.99014944;1;0.940794353;0.973992029;1;1;0.86120746;0;0.466207907;0.324548269;0.155393247;0.889859368;0.887908855;0.887476403;0.888326034
6 incubator-dubbo-8f20e3a68efc350e3fbaa965e0a8e8a59fef1b3c;8/9/2017;0.003066497;0.003670467;0.000207601;0.000434035;0.000074675;0.000030439;0.000097450;61.43628189;-348.8882407;23.32638359;4.223806288;0.994027809;1;0.948099716;0.977156038;1;1;1;0.012693439;1;0.322935552;0.168770509;0.910255974;0.905853828;0.914162013;0.909999596
7 incubator-dubbo-09189c531b0d6940e44a5fd5adec14363115a274;15/9/2017;0.003078128;0.003684393;0.000208754;0.000435526;0.000074932;0.000030544;0.000097345;61.42617261;-354.2747078;23.30399392;4.235376585;0.993923585;1;0.94781158;0.977077574;1;1;1;0.012827418;1;0.323315814;0.167248862;0.910127448;0.905734198;0.914110408;0.909899686
8 incubator-dubbo-c5152df306a2811880722490ad311cdcde4a1a40;22/9/2017;0.003099395;0.003709804;0.000210402;0.000438504;0.000075444;0.000030753;0.000098232;61.48223717;-369.1451439;23.35133271;4.245911483;0.993733024;1;0.947399453;0.976920852;1;1;1;0.012083242;1;0.322511153;0.1658463;0.909906153;0.905529677;0.913935611;0.909699501
9 incubator-dubbo-4b9ec6c72f48ca077856ae338eb1e89e1a640180;29/9/2017;0.003115496;0.003724604;0.000223339;0.000444693;0.000075476;0.000030676;0.000099311;61.43168021;-368.099945;23.31629649;4.244873566;0.993588741;1;0.944165148;0.976595126;1;1;1;0.012754459;1;0.32310701;0.165991849;0.909408725;0.905108895;0.913568245;0.909271019
