date;bugs;new_bugs;new_reliability_rating;new_reliability_remediation_effort;reliability_rating;reliability_remediation_effort;new_security_rating;new_security_remediation_effort;new_vulnerabilities;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;new_code_smells;new_maintainability_rating;new_sqale_debt_ratio;new_technical_debt;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;branch_coverage;conditions_by_line;conditions_to_cover;coverage;coverage_line_hits_data;covered_conditions_by_line;executable_lines_data;it_branch_coverage;it_conditions_by_line;it_conditions_to_cover;it_coverage;it_coverage_line_hits_data;it_covered_conditions_by_line;it_line_coverage;it_lines_to_cover;it_uncovered_conditions;it_uncovered_lines;line_coverage;lines_to_cover;new_branch_coverage;new_conditions_to_cover;new_coverage;new_it_branch_coverage;new_it_conditions_to_cover;new_it_coverage;new_it_line_coverage;new_it_lines_to_cover;new_it_uncovered_conditions;new_it_uncovered_lines;new_line_coverage;new_lines_to_cover;new_overall_branch_coverage;new_overall_conditions_to_cover;new_overall_coverage;new_overall_line_coverage;new_overall_lines_to_cover;new_overall_uncovered_conditions;new_overall_uncovered_lines;new_uncovered_conditions;new_uncovered_lines;overall_branch_coverage;overall_conditions_by_line;overall_conditions_to_cover;overall_coverage;overall_coverage_line_hits_data;overall_covered_conditions_by_line;overall_line_coverage;overall_lines_to_cover;overall_uncovered_conditions;overall_uncovered_lines;skipped_tests;test_data;test_errors;test_execution_time;test_failures;test_success_density;tests;uncovered_conditions;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;duplications_data;new_duplicated_blocks;new_duplicated_lines;new_duplicated_lines_density;classes;comment_lines;comment_lines_data;comment_lines_density;directories;files;functions;generated_lines;generated_ncloc;lines;ncloc;ncloc_data;ncloc_language_distribution;new_lines;projects;statements;team_size;class_complexity;class_complexity_distribution;cognitive_complexity;complexity;complexity_in_classes;complexity_in_functions;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;new_blocker_violations;new_critical_violations;new_info_violations;new_major_violations;new_minor_violations;new_violations;open_issues;reopened_issues;violations;wont_fix_issues;commented_out_code_lines;public_api;public_documented_api_density;public_undocumented_api
2015-10-30;89.0;;;;5.0;841.0;;;;5.0;1120.0;80.0;1277.0;989910.0;0.0;;;;;2.2;21440.0;1.0;0.6497560384277359;;;;0.0;;;;;;;;;;;;;;0.0;18440.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18440.0;29.0;21.0;535.0;0.9;;;;;593.0;6190.0;;15.8;61.0;445.0;3330.0;;;56680.0;32997.0;;java=32997;;;14038.0;;10.0;;4204.0;5932.0;;;13.3;"0=180;5=94;10=79;20=33;30=44;60=11;90=4";1.7;"1=2021;2=671;4=191;6=63;8=28;10=14;12=23";40.0;0.0;161.0;0.0;50.0;518.0;677.0;;;;;;;1446.0;0.0;1446.0;0.0;;;;
2015-11-06;91.0;;;;5.0;871.0;;;;5.0;1180.0;84.0;1267.0;1021080.0;0.0;;;0.0;;2.2;22553.0;1.0;0.6626219297214714;;;;0.0;;;;;;;;;;;;;;0.0;18980.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18980.0;31.0;22.0;558.0;1.0;;;;;609.0;6355.0;;15.7;61.0;456.0;3443.0;;;58310.0;34036.0;;java=34036;;;14474.0;;10.0;;4311.0;6113.0;;;13.4;"0=187;5=94;10=79;20=37;30=42;60=11;90=6";1.7;"1=2098;2=685;4=196;6=65;8=26;10=15;12=25";40.0;0.0;168.0;0.0;50.0;497.0;687.0;;;;;;;1442.0;0.0;1442.0;0.0;;;;
2015-11-13;88.0;;;;5.0;856.0;;;;5.0;1110.0;80.0;1102.0;1016460.0;0.0;;;0.0;;2.1;21734.0;1.0;0.641461543002184;;;;0.0;;;;;;;;;;;;;;0.0;18932.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18932.0;33.0;24.0;584.0;1.0;;;;;615.0;6281.0;;15.6;58.0;452.0;3434.0;;;57929.0;33882.0;;java=33882;;;14409.0;;9.9;;4309.0;6084.0;;;13.5;"0=186;5=94;10=79;20=34;30=41;60=12;90=6";1.7;"1=2108;2=668;4=192;6=65;8=26;10=16;12=25";39.0;0.0;166.0;0.0;49.0;472.0;544.0;;;;;;;1270.0;0.0;1270.0;0.0;;;;
2015-11-20;89.0;;;;5.0;866.0;;;;5.0;1125.0;81.0;1104.0;1027830.0;0.0;;;0.0;;2.1;21791.0;1.0;0.6360293044569627;;;;0.0;;;;;;;;;;;;;;0.0;19124.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19124.0;37.0;26.0;712.0;1.2;;;;;619.0;6315.0;;15.6;58.0;455.0;3480.0;;;58506.0;34261.0;;java=34261;;;14585.0;;10.0;;4364.0;6160.0;;;13.5;"0=185;5=96;10=79;20=37;30=40;60=12;90=6";1.7;"1=2139;2=678;4=194;6=66;8=28;10=16;12=24";39.0;0.0;165.0;0.0;48.0;476.0;546.0;;;;;;;1274.0;0.0;1274.0;0.0;;;;
2015-11-27;89.0;;;;5.0;866.0;;;;5.0;1125.0;81.0;1107.0;1029210.0;0.0;;;0.0;;2.1;21800.0;1.0;0.6354388317253039;;;;0.0;;;;;;;;;;;;;;0.0;19139.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19139.0;37.0;26.0;712.0;1.2;;;;;621.0;6294.0;;15.5;58.0;455.0;3485.0;;;58534.0;34307.0;;java=34307;;;14595.0;;9.9;;4368.0;6171.0;;;13.6;"0=185;5=96;10=79;20=36;30=41;60=12;90=6";1.7;"1=2142;2=679;4=194;6=66;8=28;10=16;12=24";39.0;0.0;165.0;0.0;48.0;477.0;548.0;;;;;;;1277.0;0.0;1277.0;0.0;;;;
2015-12-04;90.0;;;;5.0;871.0;;;;5.0;1125.0;81.0;1107.0;1045770.0;0.0;;;0.0;;2.1;21856.0;1.0;0.6269829886112626;;;;0.0;;;;;;;;;;;;;;0.0;19374.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19374.0;35.0;24.0;682.0;1.1;;;;;640.0;6376.0;;15.5;58.0;468.0;3555.0;;;59608.0;34859.0;;java=34859;;;14793.0;;9.8;;4456.0;6265.0;;;13.4;"0=193;5=97;10=83;20=36;30=41;60=11;90=7";1.7;"1=2187;2=691;4=196;6=63;8=28;10=16;12=26";40.0;0.0;167.0;0.0;47.0;485.0;539.0;;;;;;;1278.0;0.0;1278.0;0.0;;;;
2015-12-11;91.0;;;;5.0;881.0;;;;5.0;1145.0;83.0;1105.0;1067730.0;0.0;;;0.0;;2.1;22021.0;1.0;0.6187238346773061;;;;0.0;;;;;;;;;;;;;;0.0;19739.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19739.0;41.0;28.0;768.0;1.3;;;;;660.0;6476.0;;15.4;58.0;474.0;3633.0;;;60842.0;35591.0;;java=35591;;;15124.0;;9.7;;4571.0;6400.0;;;13.5;"0=192;5=100;10=87;20=35;30=42;60=11;90=7";1.7;"1=2240;2=709;4=196;6=64;8=29;10=16;12=27";41.0;0.0;166.0;0.0;52.0;474.0;546.0;;;;;;;1279.0;0.0;1279.0;0.0;;;;
2015-12-18;92.0;;;;5.0;896.0;;;;5.0;1145.0;83.0;1103.0;1069050.0;0.0;;;0.0;;2.1;22023.0;1.0;0.6180159955100323;;;;0.0;;;;;;;;;;;;;;0.0;19773.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19773.0;45.0;28.0;776.0;1.3;;;;;661.0;6467.0;;15.4;58.0;476.0;3638.0;;;60935.0;35635.0;;java=35635;;;15146.0;;9.7;;4567.0;6414.0;;;13.5;"0=194;5=100;10=86;20=36;30=42;60=11;90=7";1.7;"1=2243;2=707;4=196;6=66;8=31;10=16;12=26";41.0;0.0;166.0;0.0;52.0;475.0;544.0;;;;;;;1278.0;0.0;1278.0;0.0;;;;
2015-12-25;92.0;;;;5.0;896.0;;;;5.0;1145.0;83.0;1040.0;1072350.0;0.0;;;0.0;;2.0;21904.0;1.0;0.6127850048957896;;;;0.0;;;;;;;;;;;;;;0.0;19784.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19784.0;45.0;28.0;776.0;1.3;;;;;661.0;6466.0;;15.3;58.0;476.0;3638.0;;;61045.0;35745.0;;java=35745;;;15146.0;;9.7;;4567.0;6414.0;;;13.5;"0=194;5=100;10=86;20=36;30=42;60=11;90=7";1.7;"1=2243;2=707;4=196;6=66;8=31;10=16;12=26";41.0;0.0;155.0;0.0;52.0;477.0;490.0;;;;;;;1215.0;0.0;1215.0;0.0;;;;
2016-01-01;92.0;;;;5.0;896.0;;;;5.0;1145.0;83.0;1040.0;1072350.0;0.0;;;0.0;;2.0;21904.0;1.0;0.6127850048957896;;;;0.0;;;;;;;;;;;;;;0.0;19784.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19784.0;45.0;28.0;776.0;1.3;;;;;661.0;6466.0;;15.3;58.0;476.0;3638.0;;;61045.0;35745.0;;java=35745;;;15146.0;;9.7;;4567.0;6414.0;;;13.5;"0=194;5=100;10=86;20=36;30=42;60=11;90=7";1.7;"1=2243;2=707;4=196;6=66;8=31;10=16;12=26";41.0;0.0;155.0;0.0;52.0;477.0;490.0;;;;;;;1215.0;0.0;1215.0;0.0;;;;
2016-01-08;92.0;;;;5.0;896.0;;;;5.0;1160.0;84.0;1073.0;1104600.0;0.0;;;0.0;;2.1;23655.0;1.0;0.6424497555676263;;;;0.0;;;;;;;;;;;;;;0.0;20166.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20166.0;53.0;32.0;884.0;1.4;;;;;689.0;6716.0;;15.4;58.0;502.0;3786.0;;;63250.0;36820.0;;java=36820;;;15448.0;;9.6;;4617.0;6594.0;;;13.1;"0=209;5=107;10=89;20=36;30=43;60=11;90=7";1.7;"1=2337;2=737;4=196;6=67;8=31;10=16;12=26";41.0;0.0;155.0;0.0;64.0;498.0;491.0;;;;;;;1249.0;0.0;1249.0;0.0;;;;
2016-01-15;94.0;;;;5.0;916.0;;;;5.0;1170.0;85.0;1073.0;1116600.0;0.0;;;0.0;;2.1;23712.0;1.0;0.6370768404083826;;;;0.0;;;;;;;;;;;;;;0.0;20377.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20377.0;53.0;32.0;870.0;1.4;;;;;702.0;6735.0;;15.3;58.0;509.0;3827.0;;;63935.0;37220.0;;java=37220;;;15601.0;;9.5;;4663.0;6671.0;;;13.1;"0=209;5=112;10=91;20=36;30=43;60=11;90=7";1.7;"1=2374;2=743;4=196;6=67;8=31;10=17;12=26";41.0;0.0;158.0;0.0;58.0;501.0;494.0;;;;;;;1252.0;0.0;1252.0;0.0;;;;
2016-01-22;94.0;;;;5.0;916.0;;;;5.0;1160.0;85.0;1061.0;1120920.0;0.0;;;0.0;;2.2;24704.0;1.0;0.6611711808157584;;;;0.0;;;;;;;;;;;;;;0.0;20480.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20480.0;53.0;32.0;882.0;1.4;;;;;705.0;6750.0;;15.3;58.0;509.0;3841.0;;;64146.0;37364.0;;java=37364;;;15687.0;;9.5;;4697.0;6711.0;;;13.2;"0=211;5=108;10=93;20=36;30=43;60=11;90=7";1.7;"1=2394;2=741;4=197;6=68;8=32;10=18;12=26";41.0;0.0;158.0;0.0;51.0;502.0;488.0;;;;;;;1240.0;0.0;1240.0;0.0;;;;
2016-01-29;93.0;;;;5.0;911.0;;;;5.0;1160.0;85.0;1063.0;1121310.0;0.0;;;0.0;;2.3;25722.0;1.0;0.6881772212858175;;;;0.0;;;;;;;;;;;;;;0.0;20486.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20486.0;53.0;32.0;882.0;1.4;;;;;706.0;6755.0;;15.3;59.0;511.0;3844.0;;;64205.0;37377.0;;java=37377;;;15691.0;;9.5;;4699.0;6719.0;;;13.1;"0=213;5=108;10=93;20=36;30=43;60=11;90=7";1.7;"1=2396;2=742;4=198;6=67;8=33;10=18;12=26";41.0;0.0;156.0;0.0;51.0;506.0;487.0;;;;;;;1241.0;0.0;1241.0;0.0;;;;
