date;bugs;new_bugs;new_reliability_rating;new_reliability_remediation_effort;reliability_rating;reliability_remediation_effort;new_security_rating;new_security_remediation_effort;new_vulnerabilities;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;new_code_smells;new_maintainability_rating;new_sqale_debt_ratio;new_technical_debt;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;branch_coverage;conditions_by_line;conditions_to_cover;coverage;coverage_line_hits_data;covered_conditions_by_line;executable_lines_data;it_branch_coverage;it_conditions_by_line;it_conditions_to_cover;it_coverage;it_coverage_line_hits_data;it_covered_conditions_by_line;it_line_coverage;it_lines_to_cover;it_uncovered_conditions;it_uncovered_lines;line_coverage;lines_to_cover;new_branch_coverage;new_conditions_to_cover;new_coverage;new_it_branch_coverage;new_it_conditions_to_cover;new_it_coverage;new_it_line_coverage;new_it_lines_to_cover;new_it_uncovered_conditions;new_it_uncovered_lines;new_line_coverage;new_lines_to_cover;new_overall_branch_coverage;new_overall_conditions_to_cover;new_overall_coverage;new_overall_line_coverage;new_overall_lines_to_cover;new_overall_uncovered_conditions;new_overall_uncovered_lines;new_uncovered_conditions;new_uncovered_lines;overall_branch_coverage;overall_conditions_by_line;overall_conditions_to_cover;overall_coverage;overall_coverage_line_hits_data;overall_covered_conditions_by_line;overall_line_coverage;overall_lines_to_cover;overall_uncovered_conditions;overall_uncovered_lines;skipped_tests;test_data;test_errors;test_execution_time;test_failures;test_success_density;tests;uncovered_conditions;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;duplications_data;new_duplicated_blocks;new_duplicated_lines;new_duplicated_lines_density;classes;comment_lines;comment_lines_data;comment_lines_density;directories;files;functions;generated_lines;generated_ncloc;lines;ncloc;ncloc_data;ncloc_language_distribution;new_lines;projects;statements;team_size;class_complexity;class_complexity_distribution;cognitive_complexity;complexity;complexity_in_classes;complexity_in_functions;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;new_blocker_violations;new_critical_violations;new_info_violations;new_major_violations;new_minor_violations;new_violations;open_issues;reopened_issues;violations;wont_fix_issues;commented_out_code_lines;public_api;public_documented_api_density;public_undocumented_api
2015-12-18;262.0;;;;5.0;3023.0;;;;5.0;2230.0;128.0;4645.0;6220470.0;0.0;;;0.0;;1.0;63719.0;1.0;0.3073031459037661;;;;0.0;;;;;;;;;;;;;;0.0;101728.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101728.0;829.0;311.0;17568.0;5.3;;;;;1955.0;32602.0;;13.6;519.0;1942.0;17383.0;;;330159.0;207349.0;;"java=164645;js=33199;xml=9505";;;86039.0;;13.8;;31579.0;34527.0;;;19.5;"0=807;5=280;10=272;20=118;30=162;60=58;90=70";1.9;"1=7459;2=1628;4=586;6=310;8=144;10=87;12=181";98.0;0.0;957.0;0.0;71.0;1952.0;1957.0;;;;;;;5035.0;0.0;5035.0;0.0;;;;
2015-12-25;261.0;;;;5.0;3013.0;;;;5.0;2230.0;128.0;4645.0;6222300.0;0.0;;;0.0;;1.0;63719.0;1.0;0.3072127669832698;;;;0.0;;;;;;;;;;;;;;0.0;101764.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101764.0;829.0;311.0;17568.0;5.3;;;;;1955.0;32606.0;;13.6;519.0;1942.0;17383.0;;;330225.0;207410.0;;"java=164706;js=33199;xml=9505";;;86071.0;;13.8;;31587.0;34548.0;;;19.6;"0=807;5=280;10=272;20=118;30=162;60=57;90=71";1.9;"1=7458;2=1628;4=586;6=310;8=144;10=87;12=182";98.0;0.0;957.0;0.0;71.0;1951.0;1957.0;;;;;;;5034.0;0.0;5034.0;0.0;;;;
2016-01-01;261.0;;;;5.0;3008.0;;;;5.0;2230.0;128.0;4665.0;6234870.0;0.0;;;0.0;;1.0;64114.0;1.0;0.30849400228072116;;;;0.0;;;;;;;;;;;;;;0.0;101951.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101951.0;829.0;311.0;17568.0;5.3;;;;;1958.0;32695.0;;13.6;523.0;1946.0;17395.0;;;330814.0;207829.0;;"java=165019;js=33199;xml=9611";;;86151.0;;13.8;;31602.0;34572.0;;;19.6;"0=807;5=280;10=272;20=118;30=163;60=57;90=71";1.9;"1=7461;2=1635;4=585;6=310;8=142;10=89;12=183";98.0;0.0;959.0;0.0;71.0;1964.0;1962.0;;;;;;;5054.0;0.0;5054.0;0.0;;;;
2016-01-08;263.0;;;;5.0;3028.0;;;;5.0;2230.0;128.0;4712.0;6311730.0;0.0;;;0.0;;1.0;64966.0;1.0;0.3087869728267844;;;;0.0;;;;;;;;;;;;;;0.0;103158.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103158.0;853.0;322.0;19097.0;5.7;;;;;1975.0;33211.0;;13.6;525.0;1964.0;17647.0;;;332241.0;210391.0;;"java=167242;js=33540;xml=9609";;;87156.0;;13.9;;31902.0;34999.0;;;19.6;"0=814;5=281;10=274;20=122;30=166;60=56;90=73";1.9;"1=7576;2=1646;4=596;6=311;8=147;10=89;12=183";98.0;0.0;964.0;0.0;78.0;1992.0;1971.0;;;;;;;5103.0;0.0;5103.0;0.0;;;;
2016-01-15;267.0;;;;5.0;3078.0;;;;5.0;2215.0;127.0;4740.0;6412950.0;0.0;;;0.0;;1.0;65533.0;1.0;0.30656562112600283;;;;0.0;;;;;;;;;;;;;;0.0;104647.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104647.0;865.0;323.0;19532.0;5.7;;;;;2018.0;33784.0;;13.6;535.0;2002.0;18013.0;;;340925.0;213765.0;;"java=170311;js=33802;xml=9652";;;88400.0;;13.8;;32211.0;35535.0;;;19.5;"0=833;5=290;10=279;20=122;30=170;60=57;90=73";1.9;"1=7735;2=1691;4=605;6=316;8=150;10=89;12=184";98.0;0.0;978.0;0.0;79.0;2005.0;1974.0;;;;;;;5134.0;0.0;5134.0;0.0;;;;
2016-01-22;255.0;;;;5.0;2958.0;;;;5.0;2270.0;131.0;4820.0;6385680.0;0.0;;;0.0;;1.0;67016.0;1.0;0.3148419588830007;;;;0.0;;;;;;;;;;;;;;0.0;104228.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104228.0;868.0;331.0;19303.0;5.7;;;;;2016.0;33543.0;;13.6;542.0;2011.0;17780.0;;;339479.0;212856.0;;"java=169481;js=33612;xml=9763";;;87906.0;;13.7;;32190.0;35303.0;;;19.3;"0=842;5=285;10=282;20=125;30=168;60=57;90=71";1.9;"1=7662;2=1661;4=606;6=310;8=151;10=91;12=185";98.0;0.0;978.0;0.0;92.0;2024.0;2014.0;;;;;;;5206.0;0.0;5206.0;0.0;;;;
2016-01-29;256.0;;;;5.0;2968.0;;;;5.0;2270.0;131.0;4828.0;6427620.0;0.0;;;0.0;;1.0;67159.0;1.0;0.3134550580152529;;;;0.0;;;;;;;;;;;;;;0.0;104813.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104813.0;871.0;330.0;19324.0;5.7;;;;;2022.0;33642.0;;13.6;542.0;2016.0;17887.0;;;341444.0;214254.0;;"java=170493;js=33687;xml=10074";;;88255.0;;13.7;;32287.0;35475.0;;;19.3;"0=842;5=286;10=282;20=127;30=169;60=58;90=71";1.9;"1=7748;2=1661;4=607;6=314;8=151;10=92;12=186";98.0;0.0;976.0;0.0;92.0;2030.0;2019.0;;;;;;;5215.0;0.0;5215.0;0.0;;;;
2016-02-05;264.0;;;;5.0;3043.0;;;;5.0;2285.0;132.0;5086.0;6687660.0;0.0;;;0.0;;1.0;69966.0;1.0;0.31385865908254906;;;;0.0;;;;;;;;;;;;;;0.0;109345.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109345.0;898.0;342.0;20114.0;5.7;;;;;2102.0;35255.0;;13.7;568.0;2095.0;18528.0;;;352322.0;222922.0;;"java=178457;js=33936;xml=10529";;;91531.0;;13.8;;33376.0;36698.0;;;19.3;"0=868;5=300;10=297;20=130;30=177;60=60;90=73";1.9;"1=8047;2=1766;4=643;6=334;8=166;10=94;12=190";100.0;0.0;1009.0;0.0;92.0;2114.0;2167.0;;;;;;;5482.0;0.0;5482.0;0.0;;;;
2016-02-12;265.0;;;;5.0;3053.0;;;;5.0;2285.0;132.0;5117.0;6689580.0;0.0;;;0.0;;1.1;70604.0;1.0;0.31662974357134527;;;;0.0;;;;;;;;;;;;;;0.0;109390.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109390.0;898.0;342.0;20114.0;5.7;;;;;2103.0;35271.0;;13.7;568.0;2096.0;18537.0;;;355610.0;222986.0;;"java=178534;js=33949;xml=10503";;;91570.0;;13.8;;33387.0;36721.0;;;19.3;"0=868;5=301;10=297;20=130;30=177;60=60;90=73";1.9;"1=8055;2=1765;4=641;6=335;8=167;10=92;12=192";100.0;0.0;1010.0;0.0;92.0;2143.0;2169.0;;;;;;;5514.0;0.0;5514.0;0.0;;;;
2016-02-19;264.0;;;;5.0;3043.0;;;;5.0;2325.0;134.0;5123.0;6713280.0;0.0;;;0.0;;1.1;70733.0;1.0;0.31608840983840986;;;;0.0;;;;;;;;;;;;;;0.0;109670.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109670.0;900.0;342.0;20270.0;5.7;;;;;2110.0;35385.0;;13.7;570.0;2103.0;18601.0;;;356829.0;223776.0;;"java=178981;js=34113;xml=10682";;;91812.0;;13.8;;33475.0;36848.0;;;19.3;"0=872;5=301;10=298;20=131;30=178;60=60;90=73";1.9;"1=8060;2=1763;4=642;6=333;8=169;10=92;12=193";101.0;0.0;1008.0;0.0;92.0;2146.0;2174.0;;;;;;;5521.0;0.0;5521.0;0.0;;;;
