date;bugs;new_bugs;new_reliability_rating;new_reliability_remediation_effort;reliability_rating;reliability_remediation_effort;new_security_rating;new_security_remediation_effort;new_vulnerabilities;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;new_code_smells;new_maintainability_rating;new_sqale_debt_ratio;new_technical_debt;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;branch_coverage;conditions_by_line;conditions_to_cover;coverage;coverage_line_hits_data;covered_conditions_by_line;executable_lines_data;it_branch_coverage;it_conditions_by_line;it_conditions_to_cover;it_coverage;it_coverage_line_hits_data;it_covered_conditions_by_line;it_line_coverage;it_lines_to_cover;it_uncovered_conditions;it_uncovered_lines;line_coverage;lines_to_cover;new_branch_coverage;new_conditions_to_cover;new_coverage;new_it_branch_coverage;new_it_conditions_to_cover;new_it_coverage;new_it_line_coverage;new_it_lines_to_cover;new_it_uncovered_conditions;new_it_uncovered_lines;new_line_coverage;new_lines_to_cover;new_overall_branch_coverage;new_overall_conditions_to_cover;new_overall_coverage;new_overall_line_coverage;new_overall_lines_to_cover;new_overall_uncovered_conditions;new_overall_uncovered_lines;new_uncovered_conditions;new_uncovered_lines;overall_branch_coverage;overall_conditions_by_line;overall_conditions_to_cover;overall_coverage;overall_coverage_line_hits_data;overall_covered_conditions_by_line;overall_line_coverage;overall_lines_to_cover;overall_uncovered_conditions;overall_uncovered_lines;skipped_tests;test_data;test_errors;test_execution_time;test_failures;test_success_density;tests;uncovered_conditions;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;duplications_data;new_duplicated_blocks;new_duplicated_lines;new_duplicated_lines_density;classes;comment_lines;comment_lines_data;comment_lines_density;directories;files;functions;generated_lines;generated_ncloc;lines;ncloc;ncloc_data;ncloc_language_distribution;new_lines;projects;statements;team_size;class_complexity;class_complexity_distribution;cognitive_complexity;complexity;complexity_in_classes;complexity_in_functions;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;new_blocker_violations;new_critical_violations;new_info_violations;new_major_violations;new_minor_violations;new_violations;open_issues;reopened_issues;violations;wont_fix_issues;commented_out_code_lines;public_api;public_documented_api_density;public_undocumented_api
2016-11-04;669.0;;;;5.0;7163.0;;;;5.0;7600.0;616.0;18863.0;7445490.0;0.0;;;;;2.9;214557.0;1.0;0.8645112678950613;;;;0.0;;;;;;;;;;;;;;0.0;165696.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165696.0;1440.0;290.0;22621.0;6.6;;;;;1827.0;27357.0;;9.9;240.0;1124.0;15103.0;;;341239.0;248183.0;;"java=248178;js=5";;;148887.0;;26.1;;68752.0;47607.0;;;42.4;"0=226;5=213;10=193;20=116;30=176;60=66;90=134";3.1;"1=8114;2=3031;4=1333;6=596;8=335;10=201;12=688";86.0;0.0;8276.0;0.0;443.0;4904.0;6439.0;;;;;;;20148.0;0.0;20148.0;0.0;;;;
2016-11-11;669.0;;;;5.0;7163.0;;;;5.0;7600.0;616.0;18860.0;7445070.0;0.0;;;0.0;;2.9;214519.0;1.0;0.864406916254649;;;;0.0;;;;;;;;;;;;;;0.0;165682.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165682.0;1440.0;290.0;22621.0;6.6;;;;;1827.0;27357.0;;9.9;240.0;1124.0;15103.0;;;341225.0;248169.0;;"java=248164;js=5";;;148880.0;;26.1;;68745.0;47607.0;;;42.4;"0=226;5=213;10=193;20=116;30=176;60=66;90=134";3.1;"1=8114;2=3031;4=1333;6=596;8=335;10=201;12=688";86.0;0.0;8273.0;0.0;443.0;4904.0;6439.0;;;;;;;20145.0;0.0;20145.0;0.0;;;;
2016-11-18;669.0;;;;5.0;7163.0;;;;5.0;7600.0;616.0;18859.0;7445160.0;0.0;;;0.0;;2.9;214518.0;1.0;0.8643924375030221;;;;0.0;;;;;;;;;;;;;;0.0;165684.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165684.0;1440.0;290.0;22621.0;6.6;;;;;1827.0;27355.0;;9.9;240.0;1124.0;15103.0;;;341224.0;248172.0;;"java=248167;js=5";;;148882.0;;26.1;;68746.0;47608.0;;;42.4;"0=226;5=213;10=193;20=116;30=176;60=66;90=134";3.1;"1=8114;2=3031;4=1333;6=596;8=335;10=201;12=688";86.0;0.0;8273.0;0.0;443.0;4903.0;6439.0;;;;;;;20144.0;0.0;20144.0;0.0;;;;
2016-11-25;683.0;;;;5.0;7298.0;;;;5.0;7735.0;625.0;19090.0;7550250.0;0.0;;;0.0;;2.9;217068.0;1.0;0.8624932949240092;;;;0.0;;;;;;;;;;;;;;0.0;167858.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167858.0;1467.0;301.0;23062.0;6.6;;;;;1845.0;28174.0;;10.1;246.0;1142.0;15357.0;;;347109.0;251675.0;;"java=251670;js=5";;;150818.0;;26.2;;69646.0;48311.0;;;42.3;"0=231;5=214;10=198;20=117;30=177;60=68;90=137";3.1;"1=8204;2=3084;4=1358;6=606;8=346;10=204;12=697";88.0;0.0;8353.0;0.0;443.0;4993.0;6521.0;;;;;;;20398.0;0.0;20398.0;0.0;;;;
2016-12-02;683.0;;;;5.0;7298.0;;;;5.0;7735.0;625.0;19078.0;7547790.0;0.0;;;0.0;;2.9;216926.0;1.0;0.8622099978934231;;;;0.0;;;;;;;;;;;;;;0.0;167806.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167806.0;1467.0;301.0;23062.0;6.6;;;;;1845.0;28195.0;;10.1;246.0;1141.0;15358.0;;;347057.0;251593.0;;"java=251588;js=5";;;150777.0;;26.2;;69579.0;48306.0;;;42.3;"0=230;5=215;10=197;20=117;30=177;60=68;90=137";3.1;"1=8201;2=3088;4=1360;6=605;8=346;10=205;12=695";88.0;0.0;8349.0;0.0;442.0;4991.0;6516.0;;;;;;;20386.0;0.0;20386.0;0.0;;;;
2016-12-09;681.0;;;;5.0;7281.0;;;;5.0;7735.0;625.0;19074.0;7546470.0;0.0;;;0.0;;2.9;216890.0;1.0;0.8622176991361524;;;;0.0;;;;;;;;;;;;;;0.0;167787.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167787.0;1467.0;301.0;23062.0;6.6;;;;;1844.0;28192.0;;10.1;246.0;1139.0;15353.0;;;346983.0;251549.0;;"java=251544;js=5";;;150759.0;;26.2;;69554.0;48294.0;;;42.4;"0=229;5=215;10=196;20=118;30=175;60=69;90=137";3.1;"1=8199;2=3083;4=1362;6=605;8=348;10=203;12=695";87.0;0.0;8346.0;0.0;443.0;4990.0;6514.0;;;;;;;20380.0;0.0;20380.0;0.0;;;;
2016-12-16;681.0;;;;5.0;7281.0;;;;5.0;7735.0;625.0;19076.0;7546410.0;0.0;;;0.0;;2.9;216894.0;1.0;0.8622404560579137;;;;0.0;;;;;;;;;;;;;;0.0;167787.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167787.0;1467.0;301.0;23062.0;6.6;;;;;1844.0;28241.0;;10.1;246.0;1139.0;15353.0;;;347043.0;251547.0;;"java=251542;js=5";;;150759.0;;26.2;;69554.0;48294.0;;;42.4;"0=229;5=215;10=196;20=118;30=175;60=69;90=137";3.1;"1=8199;2=3083;4=1362;6=605;8=348;10=203;12=695";87.0;0.0;8346.0;0.0;443.0;4990.0;6516.0;;;;;;;20382.0;0.0;20382.0;0.0;;;;
2016-12-23;681.0;;;;5.0;7281.0;;;;5.0;7735.0;625.0;19071.0;7544880.0;0.0;;;0.0;;2.9;216862.0;1.0;0.8622880681998919;;;;0.0;;;;;;;;;;;;;;0.0;167748.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167748.0;1467.0;301.0;23062.0;6.6;;;;;1845.0;28251.0;;10.1;246.0;1140.0;15350.0;;;347029.0;251496.0;;"java=251491;js=5";;;150717.0;;26.2;;69528.0;48274.0;;;42.3;"0=229;5=215;10=197;20=119;30=174;60=69;90=137";3.1;"1=8204;2=3078;4=1360;6=604;8=348;10=203;12=695";87.0;0.0;8346.0;0.0;443.0;4988.0;6513.0;;;;;;;20377.0;0.0;20377.0;0.0;;;;
2016-12-30;681.0;;;;5.0;7281.0;;;;5.0;7735.0;625.0;19071.0;7545090.0;0.0;;;0.0;;2.9;216867.0;1.0;0.8622839488992179;;;;0.0;;;;;;;;;;;;;;0.0;167752.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167752.0;1467.0;301.0;23062.0;6.6;;;;;1845.0;28256.0;;10.1;246.0;1140.0;15351.0;;;347042.0;251503.0;;"java=251498;js=5";;;150720.0;;26.2;;69529.0;48275.0;;;42.3;"0=229;5=215;10=197;20=119;30=174;60=69;90=137";3.1;"1=8205;2=3078;4=1360;6=605;8=347;10=203;12=695";87.0;0.0;8346.0;0.0;443.0;4988.0;6513.0;;;;;;;20377.0;0.0;20377.0;0.0;;;;
2017-01-06;681.0;;;;5.0;7281.0;;;;5.0;7735.0;625.0;19122.0;7547670.0;0.0;;;0.0;;2.9;217317.0;1.0;0.863777828124441;;;;0.0;;;;;;;;;;;;;;0.0;167809.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167809.0;1467.0;301.0;23062.0;6.6;;;;;1845.0;28283.0;;10.1;246.0;1140.0;15356.0;;;347163.0;251589.0;;"java=251584;js=5";;;150759.0;;26.2;;69544.0;48286.0;;;42.4;"0=229;5=215;10=197;20=119;30=174;60=69;90=137";3.1;"1=8210;2=3077;4=1361;6=605;8=346;10=204;12=695";87.0;0.0;8353.0;0.0;453.0;5006.0;6529.0;;;;;;;20428.0;0.0;20428.0;0.0;;;;
