date;bugs;new_bugs;new_reliability_rating;new_reliability_remediation_effort;reliability_rating;reliability_remediation_effort;new_security_rating;new_security_remediation_effort;new_vulnerabilities;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;new_code_smells;new_maintainability_rating;new_sqale_debt_ratio;new_technical_debt;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;branch_coverage;conditions_by_line;conditions_to_cover;coverage;coverage_line_hits_data;covered_conditions_by_line;executable_lines_data;it_branch_coverage;it_conditions_by_line;it_conditions_to_cover;it_coverage;it_coverage_line_hits_data;it_covered_conditions_by_line;it_line_coverage;it_lines_to_cover;it_uncovered_conditions;it_uncovered_lines;line_coverage;lines_to_cover;new_branch_coverage;new_conditions_to_cover;new_coverage;new_it_branch_coverage;new_it_conditions_to_cover;new_it_coverage;new_it_line_coverage;new_it_lines_to_cover;new_it_uncovered_conditions;new_it_uncovered_lines;new_line_coverage;new_lines_to_cover;new_overall_branch_coverage;new_overall_conditions_to_cover;new_overall_coverage;new_overall_line_coverage;new_overall_lines_to_cover;new_overall_uncovered_conditions;new_overall_uncovered_lines;new_uncovered_conditions;new_uncovered_lines;overall_branch_coverage;overall_conditions_by_line;overall_conditions_to_cover;overall_coverage;overall_coverage_line_hits_data;overall_covered_conditions_by_line;overall_line_coverage;overall_lines_to_cover;overall_uncovered_conditions;overall_uncovered_lines;skipped_tests;test_data;test_errors;test_execution_time;test_failures;test_success_density;tests;uncovered_conditions;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;duplications_data;new_duplicated_blocks;new_duplicated_lines;new_duplicated_lines_density;classes;comment_lines;comment_lines_data;comment_lines_density;directories;files;functions;generated_lines;generated_ncloc;lines;ncloc;ncloc_data;ncloc_language_distribution;new_lines;projects;statements;team_size;class_complexity;class_complexity_distribution;cognitive_complexity;complexity;complexity_in_classes;complexity_in_functions;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;new_blocker_violations;new_critical_violations;new_info_violations;new_major_violations;new_minor_violations;new_violations;open_issues;reopened_issues;violations;wont_fix_issues;commented_out_code_lines;public_api;public_documented_api_density;public_undocumented_api
2015-10-02;408.0;;;;5.0;3078.0;;;;2.0;5100.0;404.0;9560.0;4422720.0;0.0;;;;;2.0;88218.0;1.0;0.5983964619057955;;;;0.0;;;;;;;;;;;;;;0.0;87417.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87417.0;935.0;244.0;17877.0;7.7;;;;;1326.0;30772.0;;17.3;55.0;845.0;9612.0;;;230712.0;147424.0;;"java=146328;py=67;xml=1029";;;75254.0;;23.8;;35292.0;31466.0;;;37.3;"0=161;5=185;10=207;20=79;30=101;60=33;90=78";3.3;;117.0;0.0;1444.0;0.0;245.0;3073.0;5493.0;;;;;;;10372.0;0.0;10372.0;0.0;;;;
2015-10-09;411.0;;;;5.0;3098.0;;;;2.0;5100.0;404.0;9649.0;4467450.0;0.0;;;0.0;;2.0;88939.0;1.0;0.597246751502535;;;;0.0;;;;;;;;;;;;;;0.0;88360.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88360.0;938.0;247.0;17902.0;7.7;;;;;1334.0;31261.0;;17.4;55.0;851.0;9705.0;;;233392.0;148915.0;;"java=147815;py=67;xml=1033";;;76071.0;;23.9;;35846.0;31907.0;;;37.5;"0=165;5=185;10=209;20=78;30=101;60=34;90=78";3.3;;123.0;0.0;1455.0;0.0;243.0;3093.0;5550.0;;;;;;;10464.0;0.0;10464.0;0.0;;;;
2015-10-16;417.0;;;;5.0;3128.0;;;;2.0;5160.0;408.0;9595.0;4464540.0;0.0;;;0.0;;2.0;88389.0;1.0;0.5939402491634077;;;;0.0;;;;;;;;;;;;;;0.0;88309.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88309.0;917.0;245.0;17260.0;7.4;;;;;1334.0;31243.0;;17.4;55.0;851.0;9688.0;;;233217.0;148818.0;;"java=147718;py=67;xml=1033";;;76048.0;;24.0;;35924.0;31942.0;;;37.6;"0=164;5=185;10=212;20=79;30=97;60=35;90=78";3.3;;126.0;0.0;1456.0;0.0;242.0;3071.0;5525.0;;;;;;;10420.0;0.0;10420.0;0.0;;;;
2015-10-23;417.0;;;;5.0;3148.0;;;;2.0;5200.0;412.0;9610.0;4472460.0;0.0;;;0.0;;2.0;88554.0;1.0;0.5939952509357267;;;;0.0;;;;;;;;;;;;;;0.0;88492.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88492.0;919.0;246.0;17306.0;7.4;;;;;1337.0;31314.0;;17.4;55.0;851.0;9702.0;;;233632.0;149082.0;;"java=148001;py=67;xml=1014";;;76203.0;;24.0;;36049.0;32026.0;;;37.7;"0=164;5=184;10=213;20=77;30=99;60=36;90=77";3.3;;126.0;0.0;1461.0;0.0;239.0;3079.0;5534.0;;;;;;;10439.0;0.0;10439.0;0.0;;;;
2015-10-30;419.0;;;;5.0;3163.0;;;;2.0;5200.0;412.0;9640.0;4484070.0;0.0;;;0.0;;2.0;88706.0;1.0;0.5934742321150205;;;;0.0;;;;;;;;;;;;;;0.0;88711.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88711.0;908.0;244.0;17187.0;7.3;;;;;1337.0;31392.0;;17.4;55.0;851.0;9716.0;;;234090.0;149469.0;;"java=148281;py=67;xml=1121";;;76326.0;;24.1;;36234.0;32195.0;;;37.9;"0=164;5=184;10=211;20=79;30=98;60=37;90=77";3.3;;126.0;0.0;1464.0;0.0;237.0;3085.0;5559.0;;;;;;;10471.0;0.0;10471.0;0.0;;;;
2015-11-06;421.0;;;;5.0;3178.0;;;;2.0;5200.0;412.0;9653.0;4489950.0;0.0;;;0.0;;2.0;88816.0;1.0;0.5934319981291551;;;;0.0;;;;;;;;;;;;;;0.0;88822.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88822.0;908.0;244.0;17187.0;7.3;;;;;1339.0;31434.0;;17.4;55.0;853.0;9730.0;;;234432.0;149665.0;;"java=148475;py=67;xml=1123";;;76429.0;;24.1;;36285.0;32235.0;;;37.8;"0=163;5=185;10=213;20=79;30=98;60=37;90=77";3.3;;130.0;0.0;1465.0;0.0;237.0;3090.0;5564.0;;;;;;;10486.0;0.0;10486.0;0.0;;;;
2015-11-13;418.0;;;;5.0;3163.0;;;;2.0;5200.0;412.0;9672.0;4493100.0;0.0;;;0.0;;2.0;88878.0;1.0;0.5934299258863591;;;;0.0;;;;;;;;;;;;;;0.0;88855.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88855.0;908.0;244.0;17187.0;7.3;;;;;1339.0;31559.0;;17.4;55.0;853.0;9743.0;;;234709.0;149770.0;;"java=148529;py=98;xml=1143";;;76490.0;;24.1;;36291.0;32260.0;;;37.9;"0=163;5=184;10=214;20=79;30=98;60=37;90=77";3.3;;127.0;0.0;1463.0;0.0;237.0;3094.0;5581.0;;;;;;;10502.0;0.0;10502.0;0.0;;;;
2015-11-20;419.0;;;;5.0;3168.0;;;;2.0;5200.0;412.0;9698.0;4500690.0;0.0;;;0.0;;2.0;89166.0;1.0;0.5943488665071356;;;;0.0;;;;;;;;;;;;;;0.0;89030.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89030.0;908.0;244.0;17187.0;7.3;;;;;1341.0;31734.0;;17.5;55.0;855.0;9765.0;;;235257.0;150023.0;;"java=148808;py=98;xml=1117";;;76629.0;;24.1;;36352.0;32346.0;;;37.9;"0=164;5=185;10=214;20=78;30=99;60=37;90=77";3.3;;127.0;0.0;1469.0;0.0;237.0;3105.0;5591.0;;;;;;;10529.0;0.0;10529.0;0.0;;;;
2015-11-27;421.0;;;;5.0;3198.0;;;;2.0;5210.0;413.0;9771.0;4532040.0;0.0;;;0.0;;2.0;89596.0;1.0;0.5930839092329282;;;;0.0;;;;;;;;;;;;;;0.0;89718.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89718.0;892.0;243.0;17394.0;7.3;;;;;1346.0;32063.0;;17.5;55.0;858.0;9817.0;;;236888.0;151068.0;;"java=149853;py=98;xml=1117";;;77164.0;;24.3;;36641.0;32620.0;;;38.1;"0=159;5=188;10=219;20=78;30=99;60=36;90=78";3.3;;128.0;0.0;1473.0;0.0;239.0;3142.0;5623.0;;;;;;;10605.0;0.0;10605.0;0.0;;;;
2015-12-04;420.0;;;;5.0;3196.0;;;;2.0;5210.0;413.0;9772.0;4534620.0;0.0;;;0.0;;2.0;89612.0;1.0;0.592852322796618;;;;0.0;;;;;;;;;;;;;;0.0;89760.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89760.0;892.0;243.0;17394.0;7.3;;;;;1346.0;32102.0;;17.5;55.0;858.0;9818.0;;;238936.0;151154.0;;"java=149906;py=98;xml=1150";;;77194.0;;24.3;;36664.0;32652.0;;;38.1;"0=158;5=189;10=219;20=78;30=99;60=36;90=78";3.3;;128.0;0.0;1474.0;0.0;239.0;3141.0;5623.0;;;;;;;10605.0;0.0;10605.0;0.0;;;;
