Project_Name;date;Resource_Handling;Assignment;Exception_Handling;Misused_Functionality;Synchronization;Null_Pointer;Logging;Complexity;Cohesion;Coupling;Encapsulation;Resource_Handling_Eval;Assignment_Eval;Exception_Handling_Eval;Misused_Functionality_Eval;Synchronization_Eval;Null_Pointer_Eval;Logging_Eval;Complexity_Eval;Cohesion_Eval;Coupling_Eval;Encapsulation_Eval;Confidentiality_Eval;Integrity_Eval;Availability_Eval;Security_Index
0 guava-7d3af5b5b6a4427220581b5d69df68d6d00418b8;25/12/2015;0.046707254;0.052406532;0.000798857;0.006551774;0.000657093;0.000856328;5.36403E-05;32.48569433;637.1185134;20.47082353;266.4852671;0.602981591;0.651020397;0.800285826;0.655169771;0.452422368;0.694168428;1;0.396728014;0.387691594;0.371410431;0;0.617756067;0.608593042;0.635750078;0.620637659
1 guava-f89a73485023a73defcfd5aa435bfb566f4552ca;01/01/2016;0.015053508;0.016928732;0.000288275;0.002195104;0.000254755;0.000252839;2.39431E-05;32.50639377;637.0328576;20.4278987;266.5079951;0.886617311;0.97006536;0.927931258;0.884468225;0.787704482;0.909700295;1;0.396453425;0.387727164;0.372140398;0;0.830680189;0.824197036;0.834021438;0.829549924
2 guava-7256f579d7166a10bf4ff406df672a41531ae579;08/01/2016;0.01501702;0.01688816;0.000288384;0.002193056;0.000254851;0.000252934;2.39521E-05;32.4857825;636.880135;20.42993862;266.6076078;0.886944262;0.970430217;0.927904123;0.884576;0.787624547;0.909666295;1;0.396726687;0.387790542;0.372104749;0;0.830818704;0.824305365;0.834101157;0.829658768
3 guava-3ddefd829e9fc0ed033613cd7d74427e6397c745;15/01/2016;0.015019539;0.016893989;0.000288303;0.002197234;0.00025478;0.000252864;2.39454E-05;32.47676047;636.702861;20.42996341;266.533198;0.886921689;0.970377799;0.927924217;0.884356115;0.787683741;0.909691473;1;0.396846074;0.387864131;0.372104749;0;0.830793516;0.82426327;0.834101871;0.82963658
4 guava-8fbeb9038cbe8b382b1ee188ae8459203cd04fb5;22/01/2016;0.015028218;0.016900166;0.000288066;0.002198294;0.00025457;0.000252656;2.39257E-05;32.55061771;642.0567202;20.43824822;266.3810926;0.886843925;0.970322251;0.927983608;0.884300296;0.78785869;0.909765888;1;0.395865778;0.385641986;0.371963848;0;0.830726398;0.824206519;0.834037562;0.82957386
5 guava-6e8370d443dc3f2da70ca0befda68cf8d687216b;29/01/2016;0.015017628;0.016896746;0.000286223;0.002198846;0.000255591;0.000252719;2.39317E-05;32.5352404;641.7446831;20.45853735;266.4476053;0.886938816;0.970353002;0.92844418;0.884271278;0.787007761;0.909743256;1;0.396070061;0.385771524;0.371619236;0;0.830726181;0.824138279;0.833977282;0.829530953
6 guava-d07efded0b474f2520bad78238db21e61343355a;05/02/2016;0.015046138;0.016929179;0.000286238;0.002199913;0.000255603;0.000252731;2.39329E-05;32.56599402;642.2666843;20.49850802;266.4546811;0.886683353;0.970061343;0.928440618;0.884215132;0.786997158;0.909738763;1;0.395662821;0.385554867;0.370940197;0;0.83057978;0.824020622;0.833849543;0.829400367
7 guava-b14197ec461092de12ebb8657f247412a84a5ff2;12/02/2016;0.0150349;0.016916532;0.000285733;0.002196034;0.000255153;0.000252286;2.38907E-05;32.56605972;641.6667141;20.49690376;265.9872481;0.886784054;0.970175075;0.928566787;0.884419276;0.78737271;0.909897906;1;0.395661494;0.385803856;0.370967359;0;0.830718933;0.824183863;0.833997785;0.829550564
8 guava-ac083ab0599d9b3b4a59191b397e1da8fc39a99f;19/02/2016;0.014988492;0.016853556;0.00028627;0.002186759;0.000255633;0.00025276;2.39356E-05;32.49254453;641.9658391;20.48260071;266.4747393;0.887199895;0.970741402;0.928432465;0.884907411;0.78697289;0.90972848;1;0.396636484;0.385679714;0.371210115;0;0.830918325;0.824373108;0.834077288;0.829706595
9 guava-012d8f4f9c07228c89c728330abaaa6a87cd318d;26/02/2016;0.014983915;0.016847933;0.00028611;0.002185533;0.000255489;0.000252619;2.39222E-05;32.5751521;644.8927118;20.47962402;266.3251526;0.887240908;0.970791967;0.928472596;0.884971948;0.787092342;0.909779098;1;0.395540781;0.3844649;0.371261043;0;0.830920518;0.824374835;0.834063617;0.829703345
