date;bugs;new_bugs;new_reliability_rating;new_reliability_remediation_effort;reliability_rating;reliability_remediation_effort;new_security_rating;new_security_remediation_effort;new_vulnerabilities;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;new_code_smells;new_maintainability_rating;new_sqale_debt_ratio;new_technical_debt;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;branch_coverage;conditions_by_line;conditions_to_cover;coverage;coverage_line_hits_data;covered_conditions_by_line;executable_lines_data;it_branch_coverage;it_conditions_by_line;it_conditions_to_cover;it_coverage;it_coverage_line_hits_data;it_covered_conditions_by_line;it_line_coverage;it_lines_to_cover;it_uncovered_conditions;it_uncovered_lines;line_coverage;lines_to_cover;new_branch_coverage;new_conditions_to_cover;new_coverage;new_it_branch_coverage;new_it_conditions_to_cover;new_it_coverage;new_it_line_coverage;new_it_lines_to_cover;new_it_uncovered_conditions;new_it_uncovered_lines;new_line_coverage;new_lines_to_cover;new_overall_branch_coverage;new_overall_conditions_to_cover;new_overall_coverage;new_overall_line_coverage;new_overall_lines_to_cover;new_overall_uncovered_conditions;new_overall_uncovered_lines;new_uncovered_conditions;new_uncovered_lines;overall_branch_coverage;overall_conditions_by_line;overall_conditions_to_cover;overall_coverage;overall_coverage_line_hits_data;overall_covered_conditions_by_line;overall_line_coverage;overall_lines_to_cover;overall_uncovered_conditions;overall_uncovered_lines;skipped_tests;test_data;test_errors;test_execution_time;test_failures;test_success_density;tests;uncovered_conditions;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;duplications_data;new_duplicated_blocks;new_duplicated_lines;new_duplicated_lines_density;classes;comment_lines;comment_lines_data;comment_lines_density;directories;files;functions;generated_lines;generated_ncloc;lines;ncloc;ncloc_data;ncloc_language_distribution;new_lines;projects;statements;team_size;class_complexity;class_complexity_distribution;cognitive_complexity;complexity;complexity_in_classes;complexity_in_functions;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;new_blocker_violations;new_critical_violations;new_info_violations;new_major_violations;new_minor_violations;new_violations;open_issues;reopened_issues;violations;wont_fix_issues;commented_out_code_lines;public_api;public_documented_api_density;public_undocumented_api
2018-01-05;133.0;;;;5.0;1250.0;;;;5.0;1750.0;105.0;2558.0;1504980.0;0.0;;;;;1.5;22509.0;1.0;0.44869034804449226;;;;0.0;;;;;;;;;;;;;;0.0;26846.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26846.0;260.0;107.0;8272.0;10.1;;;;;545.0;10786.0;;17.7;153.0;502.0;4498.0;;;81905.0;50166.0;;"java=47837;xml=2329";;;22374.0;;15.9;;7626.0;8653.0;;;18.8;"0=145;5=95;10=92;20=41;30=57;60=17;90=13";1.9;"1=3025;2=748;4=273;6=107;8=45;10=30;12=58";58.0;0.0;650.0;0.0;74.0;867.0;1147.0;;;;;;;2796.0;0.0;2796.0;0.0;;;;
2018-01-12;133.0;;;;5.0;1250.0;;;;5.0;1750.0;105.0;2565.0;1507200.0;0.0;;;0.0;;1.5;22548.0;1.0;0.44880573248407646;;;;0.0;;;;;;;;;;;;;;0.0;26889.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26889.0;258.0;107.0;8218.0;10.0;;;;;547.0;10788.0;;17.7;153.0;502.0;4512.0;;;82109.0;50240.0;;"java=47911;xml=2329";;;22403.0;;15.9;;7634.0;8671.0;;;18.9;"0=145;5=95;10=92;20=40;30=58;60=17;90=13";1.9;"1=3037;2=749;4=274;6=107;8=46;10=29;12=58";58.0;0.0;649.0;0.0;74.0;869.0;1153.0;;;;;;;2803.0;0.0;2803.0;0.0;;;;
2018-01-19;133.0;;;;5.0;1250.0;;;;5.0;1750.0;105.0;2565.0;1508580.0;0.0;;;0.0;;1.5;22548.0;1.0;0.44839517957284336;;;;0.0;;;;;;;;;;;;;;0.0;26889.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26889.0;258.0;107.0;8218.0;10.0;;;;;547.0;10788.0;;17.7;153.0;502.0;4512.0;;;82155.0;50286.0;;"java=47911;xml=2375";;;22403.0;;15.9;;7634.0;8671.0;;;18.9;"0=145;5=95;10=92;20=40;30=58;60=17;90=13";1.9;"1=3037;2=749;4=274;6=107;8=46;10=29;12=58";58.0;0.0;649.0;0.0;74.0;869.0;1153.0;;;;;;;2803.0;0.0;2803.0;0.0;;;;
2018-01-26;133.0;;;;5.0;1250.0;;;;5.0;1750.0;105.0;2568.0;1508490.0;0.0;;;0.0;;1.5;22559.0;1.0;0.44864069367380627;;;;0.0;;;;;;;;;;;;;;0.0;26889.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26889.0;258.0;107.0;8218.0;10.0;;;;;547.0;10788.0;;17.7;153.0;502.0;4512.0;;;82150.0;50283.0;;"java=47911;xml=2372";;;22403.0;;15.9;;7634.0;8671.0;;;18.9;"0=145;5=95;10=92;20=40;30=58;60=17;90=13";1.9;"1=3037;2=749;4=274;6=107;8=46;10=29;12=58";58.0;0.0;649.0;0.0;74.0;869.0;1156.0;;;;;;;2806.0;0.0;2806.0;0.0;;;;
2018-02-02;135.0;;;;5.0;1275.0;;;;5.0;1750.0;105.0;2580.0;1520100.0;0.0;;;0.0;;1.5;22696.0;1.0;0.4479179001381488;;;;0.0;;;;;;;;;;;;;;0.0;27002.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27002.0;258.0;107.0;8218.0;10.0;;;;;549.0;10801.0;;17.6;155.0;505.0;4523.0;;;82495.0;50670.0;;"java=48163;xml=2507";;;22498.0;;15.9;;7702.0;8706.0;;;18.8;"0=145;5=96;10=92;20=41;30=58;60=17;90=13";1.9;"1=3043;2=753;4=275;6=107;8=46;10=29;12=58";58.0;0.0;651.0;0.0;74.0;877.0;1160.0;;;;;;;2820.0;0.0;2820.0;0.0;;;;
2018-02-09;135.0;;;;5.0;1275.0;;;;5.0;1750.0;105.0;2581.0;1524300.0;0.0;;;0.0;;1.5;22698.0;1.0;0.4467230860066916;;;;0.0;;;;;;;;;;;;;;0.0;27047.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27047.0;258.0;107.0;8218.0;9.9;;;;;551.0;10809.0;;17.5;157.0;508.0;4526.0;;;82671.0;50810.0;;"java=48273;xml=2537";;;22534.0;;15.8;;7715.0;8716.0;;;18.8;"0=146;5=97;10=92;20=41;30=58;60=17;90=13";1.9;"1=3043;2=754;4=277;6=107;8=46;10=29;12=58";58.0;0.0;651.0;0.0;74.0;877.0;1161.0;;;;;;;2821.0;0.0;2821.0;0.0;;;;
2018-02-16;135.0;;;;5.0;1275.0;;;;5.0;1750.0;105.0;2584.0;1541100.0;0.0;;;0.0;;1.5;22709.0;1.0;0.4420673544870547;;;;0.0;;;;;;;;;;;;;;0.0;27311.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27311.0;258.0;107.0;8218.0;9.9;;;;;555.0;10815.0;;17.4;160.0;514.0;4570.0;;;83227.0;51370.0;;"java=48838;xml=2532";;;22736.0;;15.8;;7768.0;8786.0;;;18.8;"0=147;5=98;10=92;20=42;30=59;60=17;90=13";1.9;"1=3058;2=778;4=278;6=106;8=47;10=29;12=58";58.0;0.0;651.0;0.0;74.0;877.0;1164.0;;;;;;;2824.0;0.0;2824.0;0.0;;;;
2018-02-23;135.0;;;;5.0;1275.0;;;;5.0;1750.0;105.0;2585.0;1541340.0;0.0;;;0.0;;1.5;22717.0;1.0;0.4421542294367239;;;;0.0;;;;;;;;;;;;;;0.0;27314.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27314.0;258.0;107.0;8219.0;9.9;;;;;555.0;10815.0;;17.4;160.0;514.0;4572.0;;;83237.0;51378.0;;"java=48846;xml=2532";;;22739.0;;15.8;;7768.0;8788.0;;;18.8;"0=147;5=98;10=92;20=42;30=59;60=17;90=13";1.9;"1=3060;2=778;4=278;6=106;8=47;10=29;12=58";58.0;0.0;652.0;0.0;74.0;877.0;1164.0;;;;;;;2825.0;0.0;2825.0;0.0;;;;
2018-03-02;135.0;;;;5.0;1275.0;;;;5.0;1750.0;105.0;2620.0;1555140.0;0.0;;;0.0;;1.5;22956.0;1.0;0.4428411589953316;;;;0.0;;;;;;;;;;;;;;0.0;27502.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27502.0;262.0;110.0;8302.0;9.9;;;;;559.0;10874.0;;17.3;159.0;516.0;4569.0;;;84109.0;51838.0;;"java=49252;xml=2586";;;22950.0;;15.9;;7924.0;8913.0;;;18.9;"0=146;5=98;10=95;20=42;30=58;60=19;90=13";1.9;"1=3059;2=761;4=285;6=110;8=50;10=29;12=62";58.0;0.0;661.0;0.0;74.0;886.0;1181.0;;;;;;;2860.0;0.0;2860.0;0.0;;;;
2018-03-09;135.0;;;;5.0;1275.0;;;;5.0;1750.0;105.0;2585.0;1541340.0;0.0;;;0.0;;1.5;22717.0;1.0;0.4421542294367239;;;;0.0;;;;;;;;;;;;;;0.0;27314.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27314.0;258.0;107.0;8219.0;9.9;;;;;555.0;10815.0;;17.4;160.0;514.0;4572.0;;;83238.0;51378.0;;"java=48846;xml=2532";;;22739.0;;15.8;;7768.0;8788.0;;;18.8;"0=147;5=98;10=92;20=42;30=59;60=17;90=13";1.9;"1=3060;2=778;4=278;6=106;8=47;10=29;12=58";58.0;0.0;652.0;0.0;74.0;877.0;1164.0;;;;;;;2825.0;0.0;2825.0;0.0;;;;
