date;bugs;new_bugs;reliability_remediation_effort;new_reliability_remediation_effort;reliability_rating;new_reliability_rating;vulnerabilities;new_vulnerabilities;security_remediation_effort;new_security_remediation_effort;security_rating;new_security_rating;code_smells;new_code_smells;sqale_rating;new_maintainability_rating;development_cost;sqale_debt_ratio;new_sqale_debt_ratio;effort_to_reach_maintainability_rating_a;sqale_index;new_technical_debt;normalized_td;duplicated_lines;new_duplicated_lines;duplicated_blocks;new_duplicated_blocks;duplicated_files;duplicated_lines_density;new_duplicated_lines_density;duplications_data;lines;generated_lines;ncloc;new_lines;ncloc_language_distribution;generated_ncloc;classes;files;directories;functions;statements;projects;comment_lines;comment_lines_density;ncloc_data;comment_lines_data;team_size;complexity;file_complexity;complexity_in_classes;class_complexity;complexity_in_functions;function_complexity;function_complexity_distribution;file_complexity_distribution;cognitive_complexity;violations;blocker_violations;critical_violations;major_violations;minor_violations;info_violations;new_violations;new_blocker_violations;new_critical_violations;new_major_violations;new_minor_violations;false_positive_issues;wont_fix_issues;open_issues;reopened_issues;confirmed_issues;new_info_violations;public_documented_api_density;public_undocumented_api;public_api
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;12;;2;;780;5.3;;2;41;;1.576923077;0;;0;;0;0;;;73;;26;;c=26;;0;1;;3;17;;11;29.7;;;;7;7;;;;;;;5;12;1;0;3;0;8;;;;;;0;0;12;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;12;;2;;780;5.3;0;2;41;;1.576923077;0;;0;;0;0;;;73;;26;;c=26;;0;1;;3;17;;11;29.7;;;;7;7;;;;;;;5;12;1;0;3;0;8;;;;;;0;0;12;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;14;;1;;2610;3.1;0;0;82;;0.942528736;0;;0;;0;0;;;172;;87;;c=87;;0;1;;5;44;;20;18.7;;;;14;14;;;;;;;11;14;1;0;4;1;8;;;;;;0;0;14;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;13;;1;;2610;2.9;0;0;76;;0.873563218;0;;0;;0;0;;;166;;87;;c=87;;0;1;;5;45;;23;20.9;;;;14;14;;;;;;;11;13;1;0;4;1;7;;;;;;0;0;13;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;14;;1;;3870;3;0;0;117;;0.906976744;0;;0;;0;0;;;246;;129;;c=129;;1;1;;6;80;;33;20.4;;;;20;20;;;;;;;20;14;1;0;4;2;7;;;;;;0;0;14;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;16;;1;;3720;2.8;0;0;105;;0.846774194;0;;0;;0;0;;;251;;124;;c=124;;1;1;;7;71;;46;27.1;;;;15;15;;;;;;;10;16;1;0;4;2;9;;;;;;0;0;16;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;19;;1;;4560;3.3;0;0;149;;0.980263158;0;;0;;0;0;;;320;;152;;c=152;;1;1;;9;91;;72;32.1;;;;17;17;;;;;;;10;19;1;0;6;2;10;;;;;;0;0;19;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;20;;1;;4890;3.4;0;0;167;;1.024539877;0;;0;;0;0;;;348;;163;;c=163;;1;1;;10;99;;80;32.9;;;;19;19;;;;;;;11;20;1;0;7;2;10;;;;;;0;0;20;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;21;;1;;5760;3.5;0;0;201;;1.046875;0;;0;;0;0;;;400;;192;;c=192;;1;1;;11;119;;101;34.5;;;;21;21;;;;;;;13;21;1;0;8;2;10;;;;;;0;0;21;0;0;;;;
2020-05-01 00:00:00+00:00;0;;0;;1;;0;;0;;1;;22;;1;;6600;3.3;0;0;221;;1.004545455;0;;0;;0;0;;;450;;220;;c=220;;1;1;;11;145;;110;33.3;;;;28;28;;;;;;;32;22;1;1;8;2;10;;;;;;0;0;22;0;0;;;;
