date;bugs;new_bugs;new_reliability_rating;new_reliability_remediation_effort;reliability_rating;reliability_remediation_effort;new_security_rating;new_security_remediation_effort;new_vulnerabilities;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;new_code_smells;new_maintainability_rating;new_sqale_debt_ratio;new_technical_debt;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;branch_coverage;conditions_by_line;conditions_to_cover;coverage;coverage_line_hits_data;covered_conditions_by_line;executable_lines_data;it_branch_coverage;it_conditions_by_line;it_conditions_to_cover;it_coverage;it_coverage_line_hits_data;it_covered_conditions_by_line;it_line_coverage;it_lines_to_cover;it_uncovered_conditions;it_uncovered_lines;line_coverage;lines_to_cover;new_branch_coverage;new_conditions_to_cover;new_coverage;new_it_branch_coverage;new_it_conditions_to_cover;new_it_coverage;new_it_line_coverage;new_it_lines_to_cover;new_it_uncovered_conditions;new_it_uncovered_lines;new_line_coverage;new_lines_to_cover;new_overall_branch_coverage;new_overall_conditions_to_cover;new_overall_coverage;new_overall_line_coverage;new_overall_lines_to_cover;new_overall_uncovered_conditions;new_overall_uncovered_lines;new_uncovered_conditions;new_uncovered_lines;overall_branch_coverage;overall_conditions_by_line;overall_conditions_to_cover;overall_coverage;overall_coverage_line_hits_data;overall_covered_conditions_by_line;overall_line_coverage;overall_lines_to_cover;overall_uncovered_conditions;overall_uncovered_lines;skipped_tests;test_data;test_errors;test_execution_time;test_failures;test_success_density;tests;uncovered_conditions;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;duplications_data;new_duplicated_blocks;new_duplicated_lines;new_duplicated_lines_density;classes;comment_lines;comment_lines_data;comment_lines_density;directories;files;functions;generated_lines;generated_ncloc;lines;ncloc;ncloc_data;ncloc_language_distribution;new_lines;projects;statements;team_size;class_complexity;class_complexity_distribution;cognitive_complexity;complexity;complexity_in_classes;complexity_in_functions;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;new_blocker_violations;new_critical_violations;new_info_violations;new_major_violations;new_minor_violations;new_violations;open_issues;reopened_issues;violations;wont_fix_issues;commented_out_code_lines;public_api;public_documented_api_density;public_undocumented_api
2017-03-17;26.0;;;;4.0;262.0;;;;2.0;250.0;18.0;274.0;134730.0;0.0;;;;;1.8;2368.0;1.0;0.5272767757737697;;;;0.0;;;;;;;;;;;;;;0.0;2496.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2496.0;2.0;1.0;6.0;0.1;;;;;53.0;1509.0;;25.2;9.0;43.0;455.0;;;7677.0;4491.0;;"java=4350;xml=141";;;2024.0;;16.0;;929.0;846.0;;;20.1;"0=23;5=6;10=3;20=1;30=3;60=3;90=3";1.9;"1=232;2=81;4=18;6=15;8=5;10=3;12=10";10.0;0.0;38.0;0.0;8.0;138.0;124.0;;;;;;;318.0;0.0;318.0;0.0;;;;
2017-03-24;23.0;;;;4.0;245.0;;;;2.0;250.0;18.0;257.0;134640.0;0.0;;;0.0;;1.7;2277.0;1.0;0.5073529411764706;;;;0.0;;;;;;;;;;;;;;0.0;2501.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2501.0;2.0;1.0;6.0;0.1;;;;;53.0;1587.0;;26.1;9.0;43.0;456.0;;;7840.0;4488.0;;"java=4347;xml=141";;;2024.0;;16.0;;928.0;846.0;;;20.1;"0=23;5=6;10=3;20=1;30=3;60=3;90=3";1.8;"1=233;2=81;4=19;6=14;8=5;10=3;12=10";10.0;0.0;36.0;0.0;8.0;136.0;108.0;;;;;;;298.0;0.0;298.0;0.0;;;;
2017-03-31;23.0;;;;4.0;245.0;;;;2.0;250.0;18.0;254.0;132870.0;0.0;;;0.0;;1.7;2274.0;1.0;0.5134341837886656;;;;0.0;;;;;;;;;;;;;;0.0;2506.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2506.0;2.0;1.0;6.0;0.1;;;;;53.0;1588.0;;26.4;9.0;43.0;456.0;;;7545.0;4429.0;;"java=4347;xml=82";;;2030.0;;16.1;;948.0;852.0;;;20.3;"0=23;5=6;10=3;20=1;30=3;60=3;90=3";1.9;"1=233;2=81;4=18;6=14;8=6;10=3;12=10";8.0;0.0;36.0;0.0;8.0;135.0;108.0;;;;;;;295.0;0.0;295.0;0.0;;;;
2017-04-07;23.0;;;;4.0;245.0;;;;2.0;250.0;18.0;254.0;132870.0;0.0;;;0.0;;1.7;2274.0;1.0;0.5134341837886656;;;;0.0;;;;;;;;;;;;;;0.0;2506.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2506.0;2.0;1.0;6.0;0.1;;;;;53.0;1588.0;;26.4;9.0;43.0;456.0;;;7545.0;4429.0;;"java=4347;xml=82";;;2030.0;;16.1;;948.0;852.0;;;20.3;"0=23;5=6;10=3;20=1;30=3;60=3;90=3";1.9;"1=233;2=81;4=18;6=14;8=6;10=3;12=10";8.0;0.0;36.0;0.0;8.0;135.0;108.0;;;;;;;295.0;0.0;295.0;0.0;;;;
2017-04-14;23.0;;;;4.0;245.0;;;;2.0;260.0;19.0;256.0;134670.0;0.0;;;0.0;;1.7;2308.0;1.0;0.5141456894631321;;;;0.0;;;;;;;;;;;;;;0.0;2550.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2550.0;2.0;1.0;6.0;0.1;;;;;53.0;1622.0;;26.5;9.0;43.0;460.0;;;7643.0;4489.0;;"java=4407;xml=82";;;2059.0;;16.4;;979.0;868.0;;;20.7;"0=23;5=5;10=4;20=1;30=3;60=3;90=3";1.9;"1=235;2=81;4=19;6=14;8=6;10=3;12=10";8.0;0.0;36.0;0.0;8.0;136.0;110.0;;;;;;;298.0;0.0;298.0;0.0;;;;
2017-04-21;23.0;;;;4.0;245.0;;;;2.0;260.0;19.0;257.0;134610.0;0.0;;;0.0;;1.7;2299.0;1.0;0.512369066191219;;;;0.0;;;;;;;;;;;;;;0.0;2548.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2548.0;2.0;1.0;6.0;0.1;;;;;53.0;1782.0;;28.4;9.0;43.0;460.0;;;7887.0;4487.0;;"java=4405;xml=82";;;2057.0;;16.4;;979.0;868.0;;;20.7;"0=23;5=5;10=4;20=1;30=3;60=3;90=3";1.9;"1=235;2=81;4=19;6=14;8=6;10=3;12=10";8.0;0.0;36.0;0.0;8.0;134.0;113.0;;;;;;;299.0;0.0;299.0;0.0;;;;
2017-04-28;23.0;;;;4.0;245.0;;;;2.0;260.0;19.0;257.0;135360.0;0.0;;;0.0;;1.7;2299.0;1.0;0.5095301418439716;;;;0.0;;;;;;;;;;;;;;0.0;2563.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2563.0;2.0;1.0;6.0;0.1;;;;;53.0;1796.0;;28.5;9.0;43.0;464.0;;;7946.0;4512.0;;"java=4430;xml=82";;;2069.0;;16.5;;983.0;874.0;;;20.8;"0=23;5=5;10=4;20=1;30=3;60=3;90=3";1.9;"1=239;2=81;4=18;6=15;8=6;10=3;12=10";8.0;0.0;36.0;0.0;8.0;134.0;113.0;;;;;;;299.0;0.0;299.0;0.0;;;;
2017-05-05;25.0;;;;4.0;255.0;;;;2.0;260.0;19.0;273.0;138090.0;0.0;;;0.0;;1.7;2379.0;1.0;0.5168368455355203;;;;0.0;;;;;;;;;;;;;;0.0;2618.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2618.0;2.0;1.0;6.0;0.1;;;;;53.0;1857.0;;28.7;9.0;43.0;472.0;;;8194.0;4603.0;;"java=4521;xml=82";;;2117.0;;16.9;;1010.0;894.0;;;21.3;"0=23;5=4;10=4;20=2;30=3;60=3;90=3";1.9;"1=241;2=83;4=20;6=15;8=6;10=3;12=10";8.0;0.0;37.0;0.0;8.0;138.0;126.0;;;;;;;317.0;0.0;317.0;0.0;;;;
2017-05-12;25.0;;;;4.0;255.0;;;;2.0;260.0;19.0;284.0;138360.0;0.0;;;0.0;;1.8;2452.0;1.0;0.5316565481352992;;;;0.0;;;;;;;;;;;;;;0.0;2620.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2620.0;2.0;1.0;6.0;0.1;;;;;54.0;1859.0;;28.7;9.0;44.0;472.0;;;8210.0;4612.0;;"java=4530;xml=82";;;2119.0;;16.6;;1017.0;897.0;;;20.9;"0=23;5=5;10=4;20=2;30=3;60=3;90=3";1.9;"1=241;2=83;4=20;6=15;8=6;10=3;12=10";8.0;0.0;37.0;0.0;11.0;141.0;131.0;;;;;;;328.0;0.0;328.0;0.0;;;;
2017-05-19;25.0;;;;4.0;255.0;;;;2.0;260.0;19.0;285.0;138540.0;0.0;;;0.0;;1.8;2468.0;1.0;0.534430489389346;;;;0.0;;;;;;;;;;;;;;0.0;2621.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2621.0;2.0;1.0;6.0;0.1;;;;;55.0;1863.0;;28.7;9.0;45.0;473.0;;;8227.0;4618.0;;"java=4536;xml=82";;;2120.0;;16.3;;1017.0;898.0;;;20.4;"0=24;5=5;10=4;20=2;30=3;60=3;90=3";1.9;"1=242;2=83;4=20;6=15;8=6;10=3;12=10";8.0;0.0;37.0;0.0;12.0;142.0;130.0;;;;;;;329.0;0.0;329.0;0.0;;;;
2017-05-26;24.0;;;;4.0;240.0;;;;2.0;265.0;20.0;279.0;139080.0;0.0;;;0.0;;1.8;2450.0;1.0;0.5284728213977566;;;;0.0;;;;;;;;;;;;;;0.0;2637.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2637.0;2.0;1.0;6.0;0.1;;;;;56.0;1927.0;;29.4;9.0;46.0;468.0;;;8354.0;4636.0;;"java=4554;xml=82";;;2127.0;;15.8;;1005.0;885.0;;;19.7;"0=24;5=6;10=4;20=2;30=3;60=3;90=3";1.9;"1=243;2=79;4=18;6=15;8=6;10=4;12=9";8.0;0.0;37.0;0.0;12.0;135.0;131.0;;;;;;;323.0;0.0;323.0;0.0;;;;
2017-06-02;26.0;;;;4.0;265.0;;;;2.0;265.0;20.0;292.0;152460.0;0.0;;;0.0;;1.7;2608.0;1.0;0.5131837859110586;;;;0.0;;;;;;;;;;;;;;0.0;2895.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2895.0;2.0;1.0;6.0;0.1;;;;;63.0;2009.0;;28.3;9.0;53.0;509.0;;;9089.0;5082.0;;"java=4992;xml=90";;;2352.0;;16.0;;1123.0;1006.0;;;19.3;"0=28;5=8;10=3;20=3;30=3;60=4;90=3";2.0;"1=268;2=88;4=22;6=18;8=5;10=4;12=12";11.0;0.0;40.0;0.0;12.0;147.0;128.0;;;;;;;338.0;0.0;338.0;0.0;;;;
2017-06-09;26.0;;;;4.0;265.0;;;;2.0;265.0;20.0;291.0;152520.0;0.0;;;0.0;;1.7;2609.0;1.0;0.5131785995279308;;;;0.0;;;;;;;;;;;;;;0.0;2901.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2901.0;2.0;1.0;6.0;0.1;;;;;63.0;2011.0;;28.3;9.0;53.0;509.0;;;10369.0;5084.0;;"java=5000;xml=84";;;2357.0;;16.0;;1127.0;1007.0;;;19.4;"0=28;5=8;10=3;20=3;30=3;60=4;90=3";2.0;"1=269;2=86;4=23;6=18;8=5;10=4;12=12";11.0;0.0;40.0;0.0;12.0;148.0;126.0;;;;;;;337.0;0.0;337.0;0.0;;;;
