Project_Name;date;Resource_Handling;Assignment;Exception_Handling;Misused_Functionality;Synchronization;Null_Pointer;Logging;Complexity;Cohesion;Coupling;Encapsulation;Resource_Handling_Eval;Assignment_Eval;Exception_Handling_Eval;Misused_Functionality_Eval;Synchronization_Eval;Null_Pointer_Eval;Logging_Eval;Complexity_Eval;Cohesion_Eval;Coupling_Eval;Encapsulation_Eval;Confidentiality_Eval;Integrity_Eval;Availability_Eval;Security_Index
0 Java-WebSocket-d9d9c40d310f9bc9d5159f5e436240a13568692d;17/3/2017;0.015889385;0.019909083;0.00193619;0.002799057;0.000336729;0.000526139;0.000799731;77.8727797;378.8083803;12.68983079;3.124189747;0.879127378;0.94326364;0.515952521;0.852681202;0.719392766;0.81209337;0.428571429;0;0.494903664;0.507993533;0.314279666;0.726713242;0.722421974;0.699849713;0.716256677
1 Java-WebSocket-1520eaa41fc10bbbd7050dbdb95b3511e0df3885;24/3/2017;0.015375141;0.018905881;0.001888535;0.00268911;0.000328441;0.000492661;0.000800575;81.5853228;385.1179513;12.2513189;3.377994458;0.883735295;0.952285241;0.52786616;0.858467888;0.726299223;0.824049501;0.404761905;0;0.492284854;0.52499539;0.280697576;0.730934013;0.7265637;0.705023176;0.720768212
2 Java-WebSocket-b1689410111e70eab168bb2dd2ab6de96d7afdd8;9/6/2017;0.015651667;0.01923157;0.001914832;0.002726554;0.000333014;0.000499521;0.000811722;81.45190026;381.0073263;12.09070474;3.387586896;0.881257463;0.949356387;0.521292095;0.856497173;0.722488171;0.821599539;0.404761905;0;0.493990965;0.531222676;0.279427331;0.728281372;0.723936646;0.702743682;0.718248734
3 Java-WebSocket-6a19bccecb3e3a3e77e0fe55f7bd353904b4c7aa;25/8/2017;0.015651667;0.01923157;0.001914832;0.002726554;0.000333014;0.000499521;0.000811722;81.45190026;381.0073263;12.09070474;3.387586896;0.881257463;0.949356387;0.521292095;0.856497173;0.722488171;0.821599539;0.404761905;0;0.493990965;0.531222676;0.279427331;0.728281372;0.723936646;0.702743682;0.718248734
4 Java-WebSocket-543bd90b7b9b3df11f4dabac264e12f0d25aaf03;10/11/2017;0.014689901;0.018027633;0.001785298;0.002522704;0.000310487;0.00046573;0.000795622;78.60471164;365.4823993;11.83377319;3.049794303;0.889875435;0.960183154;0.553675386;0.867226087;0.741261093;0.833667846;0.428571429;0;0.501432307;0.541184352;0.324124061;0.74452571;0.740136403;0.718131446;0.734191093
5 Java-WebSocket-7f9f9df6d35a081ecb56497dabff80b17cb944b4;26/1/2018;0.020576244;0.025251427;0.00250068;0.003533569;0.000434901;0.000652351;0.001114433;50.22294102;341.8731721;11.56931231;1.961728731;0.837130434;0.89522098;0.441860465;0.814022689;0.637582676;0.767017435;0.333333333;0.161439748;0.533726865;0.551437953;0.468085106;0.689517713;0.685706045;0.658287952;0.677769453
6 Java-WebSocket-5895872232ff0f7238df07fc68ef4aa42b7439b1;13/4/2018;0.020648807;0.025321958;0.002526762;0.003532033;0.000434712;0.000652068;0.001113949;50.69624518;352.4873662;11.58862685;1.96685323;0.836480222;0.894586705;0.441860465;0.814103536;0.637740224;0.767118715;0.333333333;0.155161344;0.519207935;0.550689095;0.467410289;0.688846264;0.685126563;0.657585083;0.677118251
7 Java-WebSocket-ee40a5c8055be5ae56e853586c9baafc3bbcb170;29/6/2018;0.020433919;0.025213469;0.002497181;0.003571237;0.000429622;0.000698137;0.001208313;50.45760163;344.6023307;11.90749691;1.968852371;0.838405746;0.895562332;0.453488372;0.81204017;0.641981276;0.750665531;0.30952381;0.158326413;0.529993707;0.538325957;0.467145655;0.688568821;0.68447633;0.653803736;0.675548734
8 Java-WebSocket-253ae5c6432fa611c2948377b12c6f1405ace610;14/9/2018;0.020453081;0.025257677;0.002496242;0.003596736;0.000429461;0.000697874;0.001207859;50.32934292;344.3579558;11.46395212;1.959415933;0.838234038;0.895164779;0.453488372;0.8106981;0.642115811;0.750759226;0.30952381;0.160028334;0.530327982;0.555522948;0.468389436;0.688904594;0.684554531;0.654668779;0.67597503
9 Java-WebSocket-64c1ef29b8f8c993f6ea069314cbc3bc27df78da;30/11/2018;0.020443204;0.025245479;0.002495037;0.003621828;0.000429254;0.000697537;0.001207276;50.30697001;344.1921447;11.48164941;1.958469711;0.838322541;0.895274466;0.453488372;0.809377498;0.642288637;0.750879587;0.30952381;0.160325474;0.530554792;0.554836794;0.468521753;0.688811325;0.6843274;0.654646654;0.675860867
10 Java-WebSocket-143f2fbc55c903614c3969d9a06eecc9aea4eeb8;31/3/2017;0.01974143;0.024784078;0.002548147;0.003272357;0.000402339;0.00072421;0.001126549;49.14333995;340.6615525;11.56120916;1.95504533;0.844610841;0.899423758;0.441860465;0.827770704;0.664717558;0.741353545;0.333333333;0.175760824;0.535384213;0.551752126;0.468971631;0.694509502;0.692837622;0.659397873;0.682180108
11 Java-WebSocket-a14541fe0345346bfe811bff4146a62a1580ed14;7/4/2017;0.020157201;0.02515213;0.002535497;0.003549696;0.000481744;0.000709939;0.001064909;48.79873225;326.5139959;11.22624239;1.862677485;0.840885297;0.89611394;0.441860465;0.813173908;0.598546315;0.746450304;0.357142857;0.180332001;0.554736354;0.564739361;0.481197735;0.687919136;0.681443843;0.653024119;0.67406162
12 Java-WebSocket-dc3c8fff2e855a6a6d1382ce66243f7568abde03;14/4/2017;0.020079713;0.025074416;0.002522577;0.003531608;0.00047929;0.000706322;0.001059482;48.89092377;326.9684678;11.28209979;1.878512689;0.841579629;0.896812806;0.441860465;0.8141259;0.600591965;0.747742294;0.357142857;0.179108952;0.554114691;0.562573674;0.479093892;0.688416453;0.682071646;0.653638293;0.674641326
13 Java-WebSocket-a1366bbded7acf10dffd402000172a152aaebd6c;21/4/2017;0.020090978;0.025094769;0.002527167;0.003563306;0.000480162;0.000707607;0.00106141;48.83785696;326.4506444;11.29499621;1.882638362;0.841478692;0.896629777;0.441860465;0.812457603;0.599865218;0.747283295;0.357142857;0.179813333;0.554823011;0.562073658;0.478551392;0.688046796;0.681508289;0.653311328;0.674221375
14 Java-WebSocket-603108e3a97ae3ff83e6fecfc16c1db616e6ef8d;28/4/2017;0.020105954;0.025151362;0.002522704;0.003557013;0.000479314;0.000706357;0.001059536;48.95645812;327.4793643;11.30330474;1.886377397;0.841344502;0.896120843;0.441860465;0.812788783;0.600571813;0.747729566;0.357142857;0.178240084;0.553415847;0.561751522;0.478061819;0.687983014;0.681527538;0.653359262;0.674222509
15 Java-WebSocket-a627c6fb411f8e1c9299c3a89e5bce429da8900f;5/5/2017;0.020093788;0.025136144;0.002521178;0.003554861;0.000479024;0.00070593;0.001084106;48.98976402;328.1336729;11.30675171;1.886446148;0.841453514;0.896257701;0.441860465;0.812902062;0.6008135;0.747882211;0.357142857;0.177798354;0.552520832;0.561617877;0.478048587;0.6880497;0.681605105;0.653421365;0.674291288
16 Java-WebSocket-657262fdc7e8e0fc1220a86365c72dbf77d09ff8;12/5/2017;0.020093788;0.025136144;0.002521178;0.003554861;0.000479024;0.00070593;0.001084106;48.98976402;328.1336729;11.30675171;1.886446148;0.841453514;0.896257701;0.441860465;0.812902062;0.6008135;0.747882211;0.357142857;0.177798354;0.552520832;0.561617877;0.478048587;0.6880497;0.681605105;0.653421365;0.674291288
17 Java-WebSocket-c080657b8fba859fed8789f62a54d5e0e47e7516;19/5/2017;0.020339557;0.025756989;0.002418497;0.00350682;0.000459514;0.000701364;0.001064139;48.1673116;318.2568927;11.90962078;1.879558866;0.839251282;0.890674555;0.453488372;0.815430518;0.617071362;0.749512846;0.357142857;0.188707628;0.566031069;0.538243611;0.478961575;0.690194066;0.685123875;0.656206711;0.677107166
18 Java-WebSocket-c080657b8fba859fed8789f62a54d5e0e47e7525;26/5/2017;0.020339557;0.025756989;0.002418497;0.00350682;0.000459514;0.000701364;0.001064139;48.1673116;318.2568927;11.90962078;1.879558866;0.839251282;0.890674555;0.453488372;0.815430518;0.617071362;0.749512846;0.357142857;0.188707628;0.566031069;0.538243611;0.478961575;0.690194066;0.685123875;0.656206711;0.677107166
19 Java-WebSocket-c080657b8fba859fed8789f62a54d5e0e47e7531;2/6/2017;0.020339557;0.025756989;0.002418497;0.00350682;0.000459514;0.000701364;0.001064139;48.1673116;318.2568927;11.90962078;1.879558866;0.839251282;0.890674555;0.453488372;0.815430518;0.617071362;0.749512846;0.357142857;0.188707628;0.566031069;0.538243611;0.478961575;0.690194066;0.685123875;0.656206711;0.677107166
20 Java-WebSocket-0d09b7854952131290a4e3cfe1624d4a2c1cdb6c;16/6/2017;0.020332229;0.025661338;0.002400499;0.003480724;0.000456095;0.00072015;0.001080225;48.87623026;330.8996591;11.77994623;1.912813865;0.839316944;0.891534734;0.453488372;0.816804;0.619920944;0.742803646;0.357142857;0.17930395;0.548737299;0.543271316;0.474555414;0.689682006;0.684815549;0.654773637;0.676356088
21 Java-WebSocket-e30eb11a68a2e6733acfb330f2e031fb90d7d88d;23/6/2017;0.020334756;0.025658242;0.002397967;0.003501031;0.000455614;0.00071939;0.001079085;48.83099132;330.5536905;11.83163877;1.910795645;0.8392943;0.891562574;0.465116279;0.815735204;0.620321967;0.743075015;0.357142857;0.179904862;0.549210542;0.541267107;0.47483328;0.69127035;0.686003523;0.65610833;0.677726288
22 Java-WebSocket-21663de08f491d451a943e19ae19d2edd0ab87ae;30/6/2017;0.020462804;0.025745841;0.002366609;0.003442341;0.000454198;0.000717154;0.001075731;48.74531459;333.8048384;12.31734079;1.714285714;0.838146921;0.890774816;0.465116279;0.818824169;0.621501881;0.743873453;0.357142857;0.181040361;0.544763366;0.522435608;0.501805953;0.692068694;0.687559438;0.655658366;0.67836099
23 Java-WebSocket-5aefeb792c317ded887345f2a0c64ba699a53b79;7/7/2017;0.020435967;0.025718247;0.00236627;0.003465749;0.000454133;0.000717051;0.001075577;48.7382284;333.7531431;12.41414504;1.713848654;0.83838739;0.891022962;0.465116279;0.817592166;0.621556161;0.743910184;0.357142857;0.181134543;0.544834079;0.518682342;0.501932969;0.691931233;0.687299726;0.65547577;0.678167753
24 Java-WebSocket-ceff46f533494831b9286df281bfccb689c061e9;14/7/2017;0.020439876;0.025723165;0.002366722;0.003466412;0.000454219;0.000717189;0.001075783;48.7460196;333.815826;12.31659096;1.714176428;0.838352368;0.89097873;0.465116279;0.817557281;0.621483784;0.743861207;0.357142857;0.181031075;0.544748336;0.52246468;0.501837713;0.691998108;0.687327144;0.655631741;0.678251166
