Project_Name;Assignment;Dead_Code;Exception_Handling;IO;Misused_Functionality;NPE;Overflow;Resource_Handling;Str_Issues;Complexity;Assignment_Eval;Dead_Code_Eval;Exception_Handling_Eval;IO_Eval;Misused_Functionality_Eval;NPE_Eval;Overflow_Eval;Resource_Handling_Eval;Str_Issues_Eval;Complexity_Eval;Confidentiality_Eval;Integrity_Eval;Availability_Eval;Security_Index
1;0;0.038461538;0;0;0;0;0;0;0;2.884615385;1;0;1;1;1;1;1;1;1;0.995475457;0.9353;0.9718;0.7771;0.89464386
2;0;0.038461538;0;0;0;0;0;0;0;2.884615385;1;0;1;1;1;1;1;1;1;0.995475457;0.9353;0.9718;0.7771;0.89464386
3;0;0.011494253;0;0;0;0;0;0;0;3.275862069;1;0.322580645;1;1;1;1;1;1;1;0.994611945;0.95613871;0.980896774;0.849035484;0.928597454
4;0;0.022988506;0;0;0;0;0;0;0;3.275862069;1;0.01344086;1;1;1;1;1;1;1;0.994611945;0.93616828;0.972179032;0.780097312;0.896058593
5;0;0.031007752;0;0;0;0;0;0;0;4.372093023;1;0;1;1;1;1;1;1;1;0.992192478;0.9353;0.9718;0.7771;0.89464386
6;0;0.024193548;0;0;0;0;0;0;0;5.137096774;1;0;1;1;1;1;1;1;1;0.990504055;0.9353;0.9718;0.7771;0.89464386
7;0;0.026315789;0;0;0;0;0;0;0;6.927631579;1;0;1;1;1;1;1;1;1;0.986552206;0.9353;0.9718;0.7771;0.89464386
8;0;0.030674847;0;0;0;0;0;0;0;7.852760736;1;0;1;1;1;1;1;1;1;0.984510374;0.9353;0.9718;0.7771;0.89464386
9;0;0.026041667;0;0;0;0;0;0;0;8.880208333;1;0;1;1;1;1;1;1;1;0.982242717;0.9353;0.9718;0.7771;0.89464386
10;0;0.022727273;0;0;0;0;0;0;0;9.1;1;0.018817204;1;1;1;1;1;1;1;0.98175762;0.936515591;0.972330645;0.781296237;0.896624486
11;0;0.013574661;0;0;0;0;0;0;0;9.108597285;1;0.266129032;1;1;1;1;1;1;1;0.981738645;0.952491935;0.979304839;0.836446774;0.922655575
12;0;0.019704433;0;0;0;0;0;0;0;9.591133005;1;0.099462366;1;1;1;1;1;1;1;0.980673651;0.941725269;0.974604839;0.799280108;0.905112885
13;0;0.019704433;0;0;0;0;0;0;0;9.591133005;1;0.099462366;1;1;1;1;1;1;1;0.980673651;0.941725269;0.974604839;0.799280108;0.905112885
14;0;0.010416667;0;0;0;0;0;0;0;7.78125;1;0.349462366;1;1;1;1;1;1;1;0.984668203;0.957875269;0.981654839;0.855030108;0.93142692
15;0;0.009478673;0;0;0;0;0.004739336;0;0;7.805687204;1;0.376344086;1;1;1;1;0;1;1;0.984614269;0.819211828;0.873212903;0.830824731;0.840999046
16;0;0.009389671;0;0;0;0;0.004694836;0;0;7.816901408;1;0.379032258;1;1;1;1;0;1;1;0.984589518;0.819385484;0.87328871;0.831424194;0.841281992
17;0;0.008888889;0;0;0;0;0;0;0;7.44;1;0.392473118;1;1;1;1;1;1;1;0.985421369;0.960653763;0.982867742;0.864621505;0.935954065
18;0;0.007843137;0;0;0;0;0;0;0;8.196078431;1;0.419354839;1;1;1;1;1;1;1;0.983752645;0.962390323;0.983625806;0.870616129;0.938783532
19;0;0.006920415;0;0;0;0;0;0;0;9.757785467;1;0.443548387;1;1;1;1;1;1;1;0.980305836;0.963953226;0.984308065;0.87601129;0.941330051
20;0;0.006779661;0;0;0;0;0;0;0;11.43728814;1;0.448924731;1;1;1;1;1;1;1;0.976599043;0.964300538;0.984459677;0.877210215;0.941895944
21;0;0.00681431;0;0;0;0;0;0;0;20.68483816;1;0.446236559;1;1;1;1;1;1;1;0.956188981;0.964126882;0.984383871;0.876610753;0.941612998
22;0;0.006734007;0;0;0;0;0;0;0;20.65993266;1;0.448924731;1;1;1;1;1;1;1;0.956243949;0.964300538;0.984459677;0.877210215;0.941895944
23;0;0.006756757;0;0;0;0;0;0;0;20.72972973;1;0.448924731;1;1;1;1;1;1;1;0.956089902;0.964300538;0.984459677;0.877210215;0.941895944
24;0;0.006861063;0;0;0;0;0;0;0;20.91595197;1;0.446236559;1;1;1;1;1;1;1;0.955678895;0.964126882;0.984383871;0.876610753;0.941612998
25;0;0.005119454;0;0;0;0;0;0;0;20.89761092;1;0.491935484;1;1;1;1;1;1;1;0.955719375;0.967079032;0.985672581;0.886801613;0.94642309
26;0;0.005119454;0;0;0;0;0;0;0;20.89761092;1;0.491935484;1;1;1;1;1;1;1;0.955719375;0.967079032;0.985672581;0.886801613;0.94642309
27;0;0.006677796;0;0;0;0;0;0;0;21.00834725;1;0.451612903;1;1;1;1;1;1;1;0.955474971;0.964474194;0.984535484;0.877809677;0.942178891
28;0;0.004643963;0;0;0;0;0;0;0;21.60835913;1;0.51625387;1;1;1;1;1;1;1;0.954150699;0.96865;0.986358359;0.892224613;0.94898275
29;0;0.004418262;0;0;0;0;0;0;0;23.3622975;1;0.539764359;1;1;1;1;1;1;1;0.95027962;0.970168778;0.987021355;0.897467452;0.951457373
30;0;0.004137931;0;0;0;0;0;0;0;23.72;1;0.568965517;1;1;1;1;1;1;1;0.949490143;0.972055172;0.987844828;0.90397931;0.954530974
31;0;0.004160888;0;0;0;0;0;0;0;23.85159501;1;0.566574202;1;1;1;1;1;1;1;0.949199703;0.971900693;0.987777393;0.903446047;0.954279274
32;0;0.004054054;0;0;0;0;0;0;0;24.72972973;1;0.577702703;1;1;1;1;1;1;1;0.947261591;0.972619595;0.988091216;0.905927703;0.955450617
33;0.001008065;0.006048387;0;0;0;0;0;0;0;33.14516129;0.495967742;0.467741935;1;1;1;1;1;1;1;0.928688079;0.903721774;0.902177823;0.831960887;0.879198899
34;0.001001001;0.006006006;0;0;0;0;0;0;0;33.15315315;0.499499499;0.467741935;1;1;1;1;1;1;1;0.928670441;0.904154768;0.90275809;0.832307353;0.879652096
35;0.000994036;0.005964215;0;0;0;0;0;0;0;33.20079523;0.502982107;0.470430108;1;1;1;1;1;1;1;0.928565291;0.904755391;0.903406089;0.833248459;0.880381933
36;0.000981354;0.00686948;0;0;0;0;0;0;0;34.95191364;0.509322866;0.446236559;1;1;1;1;1;1;1;0.924700436;0.903969865;0.903765618;0.828475326;0.878649063
37;0.000979432;0.007835455;0;0;0;0;0;0;0;34.96571988;0.510284035;0.419354839;1;1;1;1;1;1;1;0.924669965;0.902351145;0.903165473;0.822574993;0.875942934
38;0.000923361;0.00923361;0;0;0;0;0;0;0;37.89473684;0.538319483;0.38172043;1;1;1;1;1;1;1;0.918205397;0.903357108;0.906710407;0.816932797;0.875579204
39;0.000910747;0.010018215;0;0;0;0;0;0;0;38.83606557;0.544626594;0.360215054;1;1;1;1;1;1;1;0.916127811;0.902741113;0.907140214;0.812755826;0.874124963
40;0.000884173;0.012378426;0;0;0;0;0;0;0;39.85234306;0.557913351;0.298387097;1;1;1;1;1;1;1;0.913884808;0.900375983;0.90757968;0.800271622;0.869322154
41;0.000670241;0.011394102;0;0;0;0;0;0;0;47.22184987;0.664879357;0.325268817;1;1;1;1;1;1;1;0.897619733;0.915226575;0.925912259;0.816759611;0.885877552
