date;bugs;new_bugs;new_reliability_rating;new_reliability_remediation_effort;reliability_rating;reliability_remediation_effort;new_security_rating;new_security_remediation_effort;new_vulnerabilities;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;new_code_smells;new_maintainability_rating;new_sqale_debt_ratio;new_technical_debt;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;branch_coverage;conditions_by_line;conditions_to_cover;coverage;coverage_line_hits_data;covered_conditions_by_line;executable_lines_data;it_branch_coverage;it_conditions_by_line;it_conditions_to_cover;it_coverage;it_coverage_line_hits_data;it_covered_conditions_by_line;it_line_coverage;it_lines_to_cover;it_uncovered_conditions;it_uncovered_lines;line_coverage;lines_to_cover;new_branch_coverage;new_conditions_to_cover;new_coverage;new_it_branch_coverage;new_it_conditions_to_cover;new_it_coverage;new_it_line_coverage;new_it_lines_to_cover;new_it_uncovered_conditions;new_it_uncovered_lines;new_line_coverage;new_lines_to_cover;new_overall_branch_coverage;new_overall_conditions_to_cover;new_overall_coverage;new_overall_line_coverage;new_overall_lines_to_cover;new_overall_uncovered_conditions;new_overall_uncovered_lines;new_uncovered_conditions;new_uncovered_lines;overall_branch_coverage;overall_conditions_by_line;overall_conditions_to_cover;overall_coverage;overall_coverage_line_hits_data;overall_covered_conditions_by_line;overall_line_coverage;overall_lines_to_cover;overall_uncovered_conditions;overall_uncovered_lines;skipped_tests;test_data;test_errors;test_execution_time;test_failures;test_success_density;tests;uncovered_conditions;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;duplications_data;new_duplicated_blocks;new_duplicated_lines;new_duplicated_lines_density;classes;comment_lines;comment_lines_data;comment_lines_density;directories;files;functions;generated_lines;generated_ncloc;lines;ncloc;ncloc_data;ncloc_language_distribution;new_lines;projects;statements;team_size;class_complexity;class_complexity_distribution;cognitive_complexity;complexity;complexity_in_classes;complexity_in_functions;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;new_blocker_violations;new_critical_violations;new_info_violations;new_major_violations;new_minor_violations;new_violations;open_issues;reopened_issues;violations;wont_fix_issues;commented_out_code_lines;public_api;public_documented_api_density;public_undocumented_api
2016-01-22;9.0;;;;5.0;95.0;;;;2.0;55.0;4.0;180.0;398310.0;0.0;;;;;0.5;2094.0;1.0;0.15771635158544853;;;;0.0;;;;;;;;;;;;;;0.0;4661.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4661.0;4.0;4.0;104.0;0.5;;;;;159.0;1484.0;;10.1;29.0;129.0;947.0;;;21291.0;13277.0;;"java=9129;xml=4148";;;3673.0;;11.6;;1331.0;1850.0;;;15.7;"0=37;5=21;10=30;20=9;30=17;60=3;90=1";1.9;"1=526;2=269;4=76;6=32;8=8;10=0;12=1";6.0;0.0;32.0;0.0;0.0;121.0;34.0;;;;;;;193.0;0.0;193.0;0.0;;;;
2016-01-29;10.0;;;;5.0;100.0;;;;2.0;55.0;4.0;174.0;403800.0;0.0;;;0.0;;0.5;2058.0;1.0;0.15289747399702824;;;;0.0;;;;;;;;;;;;;;0.0;4744.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4744.0;4.0;4.0;104.0;0.5;;;;;163.0;1493.0;;10.0;29.0;132.0;976.0;;;21593.0;13460.0;;"java=9302;xml=4158";;;3739.0;;11.6;;1362.0;1889.0;;;15.6;"0=39;5=21;10=30;20=9;30=19;60=2;90=1";1.9;"1=544;2=271;4=82;6=29;8=9;10=0;12=1";5.0;0.0;35.0;0.0;0.0;112.0;36.0;;;;;;;188.0;0.0;188.0;0.0;;;;
2016-02-05;10.0;;;;5.0;100.0;;;;2.0;55.0;4.0;174.0;404250.0;0.0;;;0.0;;0.5;2058.0;1.0;0.15272727272727274;;;;0.0;;;;;;;;;;;;;;0.0;4742.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4742.0;4.0;4.0;104.0;0.5;;;;;163.0;1492.0;;10.0;29.0;132.0;976.0;;;21607.0;13475.0;;"java=9300;xml=4175";;;3737.0;;11.6;;1362.0;1889.0;;;15.6;"0=39;5=21;10=30;20=9;30=19;60=2;90=1";1.9;"1=544;2=271;4=82;6=29;8=9;10=0;12=1";5.0;0.0;35.0;0.0;0.0;112.0;36.0;;;;;;;188.0;0.0;188.0;0.0;;;;
2016-02-12;10.0;;;;5.0;100.0;;;;2.0;55.0;4.0;174.0;404250.0;0.0;;;0.0;;0.5;2058.0;1.0;0.15272727272727274;;;;0.0;;;;;;;;;;;;;;0.0;4742.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4742.0;4.0;4.0;104.0;0.5;;;;;163.0;1492.0;;10.0;29.0;132.0;976.0;;;21607.0;13475.0;;"java=9300;xml=4175";;;3737.0;;11.6;;1362.0;1889.0;;;15.6;"0=39;5=21;10=30;20=9;30=19;60=2;90=1";1.9;"1=544;2=271;4=82;6=29;8=9;10=0;12=1";5.0;0.0;35.0;0.0;0.0;112.0;36.0;;;;;;;188.0;0.0;188.0;0.0;;;;
2016-02-19;10.0;;;;5.0;100.0;;;;2.0;55.0;4.0;166.0;400830.0;0.0;;;0.0;;0.5;1971.0;1.0;0.14751889828605644;;;;0.0;;;;;;;;;;;;;;0.0;4652.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4652.0;4.0;4.0;104.0;0.5;;;;;163.0;1498.0;;10.1;29.0;132.0;966.0;;;21498.0;13361.0;;"java=9141;xml=4220";;;3655.0;;11.4;;1321.0;1855.0;;;15.3;"0=39;5=22;10=30;20=9;30=18;60=2;90=1";1.9;"1=548;2=260;4=77;6=28;8=11;10=0;12=1";5.0;0.0;35.0;0.0;2.0;105.0;33.0;;;;;;;180.0;0.0;180.0;0.0;;;;
2016-02-26;10.0;;;;5.0;100.0;;;;2.0;55.0;4.0;165.0;402390.0;0.0;;;0.0;;0.5;1969.0;1.0;0.1467978826511593;;;;0.0;;;;;;;;;;;;;;0.0;4663.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4663.0;4.0;4.0;104.0;0.5;;;;;163.0;1499.0;;10.1;29.0;132.0;967.0;;;21552.0;13413.0;;"java=9160;xml=4253";;;3662.0;;11.4;;1329.0;1857.0;;;15.3;"0=39;5=22;10=30;20=9;30=18;60=2;90=1";1.9;"1=548;2=260;4=79;6=27;8=11;10=0;12=1";5.0;0.0;35.0;0.0;2.0;105.0;32.0;;;;;;;179.0;0.0;179.0;0.0;;;;
2016-03-04;10.0;;;;5.0;100.0;;;;2.0;55.0;4.0;165.0;404910.0;0.0;;;0.0;;0.5;1969.0;1.0;0.1458842705786471;;;;0.0;;;;;;;;;;;;;;0.0;4691.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4691.0;4.0;4.0;104.0;0.5;;;;;165.0;1509.0;;10.1;29.0;133.0;977.0;;;21685.0;13497.0;;"java=9229;xml=4268";;;3680.0;;11.3;;1333.0;1868.0;;;15.3;"0=40;5=22;10=30;20=8;30=18;60=3;90=1";1.8;"1=551;2=268;4=80;6=26;8=10;10=0;12=1";5.0;0.0;35.0;0.0;2.0;105.0;32.0;;;;;;;179.0;0.0;179.0;0.0;;;;
2016-03-11;10.0;;;;5.0;100.0;;;;2.0;45.0;3.0;165.0;407700.0;0.0;;;0.0;;0.5;1969.0;1.0;0.1448859455481972;;;;0.0;;;;;;;;;;;;;;0.0;4730.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4730.0;4.0;4.0;104.0;0.5;;;;;166.0;1514.0;;10.0;29.0;134.0;982.0;;;21824.0;13590.0;;"java=9315;xml=4275";;;3713.0;;11.3;;1346.0;1882.0;;;15.3;"0=40;5=22;10=31;20=8;30=18;60=3;90=1";1.9;"1=552;2=271;4=81;6=26;8=10;10=0;12=1";5.0;0.0;35.0;0.0;2.0;105.0;31.0;;;;;;;178.0;0.0;178.0;0.0;;;;
2016-03-18;10.0;;;;5.0;100.0;;;;2.0;45.0;3.0;165.0;408390.0;0.0;;;0.0;;0.5;1969.0;1.0;0.1446411518401528;;;;0.0;;;;;;;;;;;;;;0.0;4730.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4730.0;4.0;4.0;104.0;0.5;;;;;166.0;1514.0;;10.0;29.0;134.0;982.0;;;21847.0;13613.0;;"java=9315;xml=4298";;;3713.0;;11.3;;1346.0;1882.0;;;15.3;"0=40;5=22;10=31;20=8;30=18;60=3;90=1";1.9;"1=552;2=271;4=81;6=26;8=10;10=0;12=1";5.0;0.0;35.0;0.0;2.0;105.0;31.0;;;;;;;178.0;0.0;178.0;0.0;;;;
2016-03-25;10.0;;;;5.0;100.0;;;;2.0;45.0;3.0;166.0;415200.0;0.0;;;0.0;;0.5;1974.0;1.0;0.1426300578034682;;;;0.0;;;;;;;;;;;;;;0.0;4812.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4812.0;4.0;4.0;104.0;0.5;;;;;170.0;1542.0;;10.0;30.0;136.0;1008.0;;;22208.0;13840.0;;"java=9493;xml=4347";;;3758.0;;11.2;;1357.0;1912.0;;;15.3;"0=41;5=22;10=31;20=9;30=18;60=3;90=1";1.8;"1=576;2=272;4=82;6=26;8=10;10=0;12=1";5.0;0.0;35.0;0.0;2.0;106.0;31.0;;;;;;;179.0;0.0;179.0;0.0;;;;
