Project_Name;date;Resource_Handling;Assignment;Exception_Handling;Misused_Functionality;Synchronization;Null_Pointer;Logging;Complexity;Cohesion;Coupling;Encapsulation;Resource_Handling_Eval;Assignment_Eval;Exception_Handling_Eval;Misused_Functionality_Eval;Synchronization_Eval;Null_Pointer_Eval;Logging_Eval;Complexity_Eval;Cohesion_Eval;Coupling_Eval;Encapsulation_Eval;Confidentiality_Eval;Integrity_Eval;Availability_Eval;Security_Index
0 spring-boot-fbaf2092401e4c8ccc133a76ef0f165cc9fac025;22/1/2016;0.004044902;0.004471646;0.000282498;0.000898632;0.000118501;0.0000261;0.000135077;72.51328921;-754.1405989;27.63070528;7.145844303;0.985260735;1;0.929375567;0.95270358;0.901249232;1;0.831153822;0;1;0.249864192;0;0.873815661;0.864072829;0.874136032;0.870587773
1 spring-boot-acbb4e63f21777fca5b879095d5559d20fc54cbc;29/1/2016;0.00403466;0.004462477;0.000282979;0.000897217;0.000116998;0.0000254;0.000126513;72.38313372;-753.8621365;27.58385389;6.929041232;0.985352513;1;0.92925514;0.952778026;0.902501895;1;0.841859249;0;1;0.250660365;0;0.874557958;0.864843435;0.875297485;0.871479136
2 spring-boot-410dedc5675121da87cdbb83a53ad43179982407;5/2/2016;0.004033401;0.004460343;0.000282866;0.000897916;0.000116247;0.0000254;0.000125405;72.36374448;-753.3802346;27.64047316;6.926788303;0.985363786;1;0.929283376;0.952741253;0.903127912;1;0.843243348;0;1;0.249699525;0;0.87467099;0.864988597;0.875459642;0.871619239
3 spring-boot-1c365662b0474eaf9c392ca653bce1b8d317c595;12/2/2016;0.004040966;0.004467462;0.000283509;0.000899479;0.000116221;0.0000257;0.000126082;72.35554796;-753.2163628;27.63984969;6.928068761;0.985296003;1;0.929122849;0.952658975;0.903149235;1;0.842397391;0;1;0.249709711;0;0.874579707;0.864904728;0.875353114;0.871525355
4 spring-boot-e021a3074513e4f7b367c33ddb97fda0d5d62cf1;19/2/2016;0.004060609;0.004486056;0.000283749;0.000905882;0.000116672;0.0000247;0.000126894;71.50664167;-754.6735426;27.68536662;6.829365251;0.985119993;1;0.929062715;0.952321982;0.902773328;1;0.841382468;0;1;0.248937304;0;0.874378939;0.864681073;0.875113044;0.87130388
5 spring-boot-0232bef85debf779739af2918253bdbe38ee58ed;26/2/2016;0.004054736;0.004479628;0.000283379;0.000908075;0.000116231;0.0000246;0.000126414;71.7625151;-730.6849459;27.72702185;6.891128215;0.985172617;1;0.929155367;0.952206556;0.90314096;1;0.841982231;0;1;0.248229406;0;0.874439514;0.86474484;0.875193792;0.871372236
6 spring-boot-00bb936c4b554fab435e595317d43fcfc0535f50;4/3/2016;0.004119703;0.004543352;0.000283718;0.000911827;0.000116083;0.0000249;0.000126253;71.69791567;-729.7148164;27.71363732;6.885057931;0.984590473;1;0.929070403;0.952009121;0.903264538;1;0.842183839;0;1;0.248456884;0;0.87430762;0.864667537;0.87511346;0.871275736
7 spring-boot-e67f2e29830846fe464db0c41c1772e509aee2d9;11/3/2016;0.004167323;0.004594418;0.000292315;0.000919654;0.000115876;0.0000252;0.000125678;71.60157045;-728.1499176;27.69692947;6.875745228;0.984163772;1;0.926921313;0.951597174;0.903436945;1;0.842902703;0;1;0.248740383;0;0.873921465;0.864354438;0.874863333;0.870959307
8 spring-boot-a243b3e17794ad51d76fd8b46b7732e4f62359ef;18/3/2016;0.004183289;0.004610156;0.000292158;0.000921961;0.000115814;0.0000252;0.000125611;71.5710036;-727.7482248;27.68905487;6.874112591;0.984020705;1;0.926960383;0.951475729;0.90348857;1;0.842986692;0;1;0.248874493;0;0.87389525;0.864332451;0.874856261;0.870940885
9 spring-boot-d66ff0e42bc50a7d023853d6a5199e7196f26624;25/3/2016;0.004426428;0.004859365;0.00029498;0.000956344;0.000116813;0.000025;0.000128945;71.36018434;-720.1628069;27.66901345;6.819183728;0.981842047;1;0.926255093;0.949666102;0.902655568;1;0.838818418;0;1;0.249214013;0;0.872807941;0.863297066;0.873808442;0.869884153
