Project_Name;date;Resource_Handling;Assignment;Exception_Handling;Misused_Functionality;Synchronization;Null_Pointer;Logging;Complexity;Cohesion;Coupling;Encapsulation;Resource_Handling_Eval;Assignment_Eval;Exception_Handling_Eval;Misused_Functionality_Eval;Synchronization_Eval;Null_Pointer_Eval;Logging_Eval;Complexity_Eval;Cohesion_Eval;Coupling_Eval;Encapsulation_Eval;Confidentiality_Eval;Integrity_Eval;Availability_Eval;Security_Index
0 okhttp-00c9db7859ed4edac380b25c3be61afd9ece0e5d;2015-12-18;0.001657173;0.001954241;7.86E-05;0.000355317;6.70E-05;6.26E-05;6.26E-05;62.41959435;186.027905;16.61067648;9.35029452;1;1;1;0.98129913;1;1;1;0;0.746904279;0.436941066;0;0.910177611;0.903566428;0.919115996;0.910862249
1 okhttp-ad1f4c6d3f5a4723b50eab9e6ae7a8922fe3b097;2015-12-25;0.001665844;0.001963871;7.96E-05;0.000357729;6.70E-05;6.26E-05;6.36E-05;62.35837099;186.2905252;16.59566201;9.368330132;1;1;1;0.981172142;1;1;1;0.000461628;0.746545046;0.437195706;0;0.910173349;0.90355218;0.919128484;0.910860242
2 okhttp-20653ad0e17b693cad5b0be3d48404fca0a95d88;2016-01-01;0.001706347;0.002029339;8.56E-05;0.00038585;6.53E-05;7.06E-05;6.24E-05;62.21187664;183.2643131;16.6208419;9.348030932;1;1;1;0.979692103;1;1;1;0.002404975;0.750684537;0.436767911;0;0.910104861;0.903335377;0.919177593;0.910781523
3 okhttp-b113b43d2791e5a9c764404d5fcf0efd1777e2cb;2016-01-08;0.00169013;0.002010441;8.47E-05;0.000382075;6.46E-05;6.99E-05;6.18E-05;64.42528788;183.9742258;16.66933209;10.50360936;1;1;1;0.979890807;1;1;1;0;0.749713463;0.435944577;0;0.910034754;0.90327326;0.919045675;0.910693484
4 okhttp-9920c57e7a8c0d49ec2732be899b3e27c215854a;2016-01-15;0.001705338;0.002033548;8.56E-05;0.000386698;6.53E-05;7.06E-05;6.14E-05;62.2791795;183.4209454;16.64149376;9.359269005;1;1;1;0.979647475;1;1;1;0.001512229;0.750470283;0.436418206;0;0.910066298;0.903287086;0.919122692;0.910734276
5 okhttp-9ddcf9dfec93124f195303a688493b4fc5b848d2;2016-01-22;0.001708018;0.002036185;8.55E-05;0.000387615;6.52E-05;7.06E-05;6.14E-05;62.2760126;183.4113061;16.63945067;9.358135196;1;1;1;0.979599227;1;1;1;0.001553351;0.750483468;0.436452158;0;0.910062697;0.903278401;0.919123235;0.910730362
6 okhttp-18b2660873ed8f028ee72981c882ed676aa08030;2016-01-29;0.001727327;0.002054157;8.74E-05;0.000392486;6.57E-05;7.14E-05;6.13E-05;62.2781218;183.3906689;16.63503683;9.36053382;1;1;1;0.979342818;1;1;1;0.001525494;0.750511698;0.436526853;0;0.910034425;0.903221765;0.91911162;0.910698191
7 okhttp-417e025a836f24eedb5d99d4cf7c39326447e557;2016-02-05;0.001734702;0.002063515;8.73E-05;0.000396311;6.51E-05;7.14E-05;6.12E-05;62.38533825;183.2986123;16.64400272;9.386641442;1;1;1;0.97914155;1;1;1;0.000103468;0.75063762;0.436374069;0;0.90997742;0.903129978;0.919048055;0.910627413
8 okhttp-b8fd4e3de0098c44010800c8206000a21feeb252;2016-02-12;0.001730412;0.002058843;8.44E-05;0.000395468;6.51E-05;7.14E-05;6.12E-05;62.36825649;183.304659;16.64543295;9.38531899;1;1;1;0.979185918;1;1;1;0.000330303;0.750629349;0.436350303;0;0.909986833;0.903146655;0.919056709;0.910638993
9 okhttp-472329ecbb6ab2a16c1bd5fd4a7305bb1891da7f;2016-02-19;0.001735534;0.002066066;8.43E-05;0.000396542;6.46E-05;7.23E-05;6.12E-05;62.50364982;184.1273661;16.63768874;9.37939292;1;1;1;0.979129366;1;1;1;0;0.749503985;0.436482715;0;0.909956106;0.903109269;0.919023471;0.910605212
10 okhttp-b27c5921c8543823651daed3d4bb1ca6d40028e7;2016-02-26;0.001737405;0.002068798;8.43E-05;0.000397383;6.45E-05;7.23E-05;6.12E-05;62.55916497;184.3029967;16.63851721;9.378918493;1;1;1;0.979085128;1;1;1;0;0.749263744;0.436467437;0;0.909946087;0.903095527;0.919014534;0.910594314
