date;bugs;new_bugs;new_reliability_rating;new_reliability_remediation_effort;reliability_rating;reliability_remediation_effort;new_security_rating;new_security_remediation_effort;new_vulnerabilities;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;new_code_smells;new_maintainability_rating;new_sqale_debt_ratio;new_technical_debt;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;branch_coverage;conditions_by_line;conditions_to_cover;coverage;coverage_line_hits_data;covered_conditions_by_line;executable_lines_data;it_branch_coverage;it_conditions_by_line;it_conditions_to_cover;it_coverage;it_coverage_line_hits_data;it_covered_conditions_by_line;it_line_coverage;it_lines_to_cover;it_uncovered_conditions;it_uncovered_lines;line_coverage;lines_to_cover;new_branch_coverage;new_conditions_to_cover;new_coverage;new_it_branch_coverage;new_it_conditions_to_cover;new_it_coverage;new_it_line_coverage;new_it_lines_to_cover;new_it_uncovered_conditions;new_it_uncovered_lines;new_line_coverage;new_lines_to_cover;new_overall_branch_coverage;new_overall_conditions_to_cover;new_overall_coverage;new_overall_line_coverage;new_overall_lines_to_cover;new_overall_uncovered_conditions;new_overall_uncovered_lines;new_uncovered_conditions;new_uncovered_lines;overall_branch_coverage;overall_conditions_by_line;overall_conditions_to_cover;overall_coverage;overall_coverage_line_hits_data;overall_covered_conditions_by_line;overall_line_coverage;overall_lines_to_cover;overall_uncovered_conditions;overall_uncovered_lines;skipped_tests;test_data;test_errors;test_execution_time;test_failures;test_success_density;tests;uncovered_conditions;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;duplications_data;new_duplicated_blocks;new_duplicated_lines;new_duplicated_lines_density;classes;comment_lines;comment_lines_data;comment_lines_density;directories;files;functions;generated_lines;generated_ncloc;lines;ncloc;ncloc_data;ncloc_language_distribution;new_lines;projects;statements;team_size;class_complexity;class_complexity_distribution;cognitive_complexity;complexity;complexity_in_classes;complexity_in_functions;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;new_blocker_violations;new_critical_violations;new_info_violations;new_major_violations;new_minor_violations;new_violations;open_issues;reopened_issues;violations;wont_fix_issues;commented_out_code_lines;public_api;public_documented_api_density;public_undocumented_api;WMC;NOC;DIT;LOC;LCOM;LCOM3;CAM;CBO;CBM;Ca;Ce;IC;MOA;NPM;DAM;AMC;RFC
2017-01-27;6;;;;5;50;;;;2;30;3;182;133140;0;;;;;1.8;2387;1;0.53785489;;;;0;;;;;;;;;;;;;;0;1710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1710;8;3;101;1.3;;;;;126;763;;14.7;26;91;350;;;7742;4438;;"java=3738;xml=700";;;1384;;5.5;;590;689;;;8.9;"0=47;5=11;10=8;20=4;30=6;60=0;90=1";1.7;"1=201;2=69;4=12;6=7;8=4;10=0;12=4";12;0;27;0;6;65;81;;;;;;;191;0;191;0;;;;;17.05485325;0.09574585;0.802957019;18194;57.35445751;0.800153897;0.363416511;17.3189513;0.005221502;4.839177751;13.09959327;0.005221502;1.403594592;7.616027262;0.692426075;35.97828955;36.22650324
2017-02-03;6;;;;5;50;;;;2;10;1;180;133170;0;;;0;;1.8;2337;1;0.526469926;;;;0;;;;;;;;;;;;;;0;1697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1697;8;3;101;1.3;;;;;127;809;;15.4;26;91;354;;;7819;4439;;"java=3733;xml=706";;;1381;;5.5;;588;695;;;9;"0=47;5=10;10=9;20=4;30=6;60=0;90=1";1.7;"1=200;2=74;4=12;6=7;8=4;10=0;12=4";12;0;28;0;5;62;80;;;;;;;187;0;187;0;;;;;16.71245229;0.096365547;0.804281684;18077;56.27731371;0.809094429;0.370636721;17.42861094;0.005255297;4.849145323;13.15859933;0.005255297;1.404049344;7.4164961;0.671129059;36.41489185;36.08884218
2017-02-10;5;;;;5;45;;;;2;10;1;179;132690;0;;;0;;1.8;2332;1;0.527243952;;;;0;;;;;;;;;;;;;;0;1687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1687;8;3;101;1.3;;;;;127;806;;15.4;26;91;353;;;7793;4423;;"java=3717;xml=706";;;1372;;5.5;;586;693;;;9;"0=47;5=10;10=9;20=4;30=6;60=0;90=1";1.7;"1=200;2=73;4=12;6=7;8=4;10=0;12=4";11;0;28;0;5;61;80;;;;;;;185;0;185;0;;;;;16.60132854;0.09642956;0.804151675;18065;55.73866593;0.804649875;0.371823969;17.40066427;0.005258788;4.809410462;13.17331857;0.005258788;1.420260172;7.42142264;0.674010518;36.48657625;35.99147523
2017-02-17;5;;;;5;45;;;;2;30;3;181;134280;0;;;0;;1.8;2394;1;0.534852547;;;;0;;;;;;;;;;;;;;0;1717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1717;8;3;101;1.3;;;;;129;806;;15.3;26;91;355;;;7848;4476;;"java=3766;xml=710";;;1392;;5.4;;596;702;;;9.1;"0=47;5=10;10=9;20=4;30=6;60=0;90=1";1.8;"1=202;2=73;4=12;6=7;8=4;10=0;12=4";11;0;28;0;5;64;81;;;;;;;189;0;189;0;;;;;16.5514509;0.102628559;0.802940051;18299;55.10098913;0.806164271;0.371550358;17.86802558;0.005191541;4.910432264;13.56445707;0.005191541;1.433357014;7.361932346;0.668670419;36.7359965;36.63642822
2017-02-24;5;;;;5;45;;;;2;40;4;177;138150;0;;;0;;1.8;2424;1;0.526384365;;;;0;;;;;;;;;;;;;;0;1768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1768;8;3;107;1.3;;;;;139;806;;14.9;26;92;370;;;8030;4605;;"java=3895;xml=710";;;1436;;5.3;;608;732;;;9.4;"0=47;5=10;10=10;20=3;30=7;60=0;90=1";1.8;"1=218;2=67;4=13;6=9;8=4;10=1;12=4";11;0;28;0;5;59;83;;;;;;;186;0;186;0;;;;;16.55786709;0.098660362;0.805516154;19035;53.81292356;0.815655372;0.376096664;17.64502233;0.004990806;4.777620173;13.46939848;0.004990806;1.501287103;7.552403467;0.646755976;36.03446283;36.00493827
2017-03-03;5;;;;5;45;;;;2;40;4;177;138210;0;;;0;;1.8;2449;1;0.531582375;;;;0;;;;;;;;;;;;;;0;1772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1772;10;4;137;1.7;;;;;139;806;;14.9;26;92;368;;;8031;4607;;"java=3897;xml=710";;;1441;;5.3;;609;731;;;9.4;"0=48;5=9;10=10;20=3;30=7;60=0;90=1";1.8;"1=215;2=68;4=13;6=9;8=4;10=1;12=4";11;0;28;0;5;59;83;;;;;;;186;0;186;0;;;;;16.55435975;0.099472337;0.805443812;19141;54.134319;0.815004441;0.376835066;17.82001985;0.004963168;4.999007366;13.43012382;0.004963168;1.503004023;7.584504467;0.644219215;36.0119116;35.98255055
2017-03-10;7;;;;5;60;;;;2;30;3;203;161940;0;;;0;;1.8;2855;1;0.528899592;;;;0;;;;;;;;;;;;;;0;2112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2112;18;9;264;2.9;;;;;160;857;;13.7;30;100;434;;;9133;5398;;"java=4585;xml=813";;;1745;;5.6;;763;898;;;10.7;"0=50;5=10;10=10;20=6;30=6;60=0;90=2";1.9;"1=252;2=86;4=18;6=10;8=4;10=2;12=6";13;0;32;0;5;74;89;;;;;;;213;0;213;0;;;;;16.5222605;0.121658745;0.807700693;22933;52.18004622;0.802991323;0.383900929;16.39894475;0.09257402;5.084812279;12.08476867;0.09257402;1.378057821;7.607683251;0.665983517;34.58906379;34.59137487
2017-03-17;7;;;;5;60;;;;2;30;3;204;161910;0;;;0;;1.8;2861;1;0.53010932;;;;0;;;;;;;;;;;;;;0;2111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2111;18;9;264;2.9;;;;;160;857;;13.7;30;100;434;;;9132;5397;;"java=4584;xml=813";;;1745;;5.6;;765;900;;;10.7;"0=50;5=10;10=10;20=6;30=6;60=0;90=2";1.9;"1=252;2=86;4=18;6=9;8=5;10=2;12=6";13;0;33;0;5;74;89;;;;;;;214;0;214;0;;;;;16.52617128;0.121595119;0.807801264;22945;52.16844628;0.803007191;0.3838309;16.40553497;0.092525605;5.090520811;12.08524733;0.092525605;1.37733711;7.603704511;0.666158204;34.61124428;34.6010024
2017-03-24;7;;;;5;60;;;;2;30;3;204;162150;0;;;0;;1.8;2861;1;0.529324699;;;;0;;;;;;;;;;;;;;0;2117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2117;18;9;264;2.9;;;;;160;857;;13.7;30;100;434;;;9140;5405;;"java=4592;xml=813";;;1749;;5.6;;769;902;;;10.7;"0=50;5=10;10=10;20=6;30=6;60=0;90=2";1.9;"1=252;2=85;4=19;6=9;8=5;10=2;12=6";13;0;33;0;5;74;89;;;;;;;214;0;214;0;;;;;16.55278586;0.121162114;0.808485691;23027;52.08950363;0.803187562;0.383593173;16.45038433;0.092196118;5.12936987;12.0885048;0.092196118;1.372432362;7.576627437;0.667347027;34.77613237;34.75598211
2017-03-31;7;;;;5;60;;;;2;30;3;210;165720;0;;;0;;1.8;2931;1;0.530593773;;;;0;;;;;;;;;;;;;;0;2177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2177;18;9;264;2.8;;;;;163;867;;13.6;30;101;443;;;9305;5524;;"java=4711;xml=813";;;1801;;5.7;;786;926;;;10.9;"0=50;5=10;10=10;20=7;30=6;60=0;90=2";1.9;"1=252;2=93;4=20;6=8;8=6;10=2;12=6";13;0;34;0;6;77;90;;;;;;;220;0;220;0;;;;;16.45663709;0.118436134;0.807191068;23557;51.24850363;0.774207242;0.383452901;16.40298001;0.090121832;5.143524218;12.019612;0.090121832;1.357176211;7.629112366;0.682811903;34.39975379;34.37517511
