Project_Name;date;Resource_Handling;Assignment;Exception_Handling;Misused_Functionality;Synchronization;Null_Pointer;Logging;Complexity;Cohesion;Coupling;Encapsulation;Resource_Handling_Eval;Assignment_Eval;Exception_Handling_Eval;Misused_Functionality_Eval;Synchronization_Eval;Null_Pointer_Eval;Logging_Eval;Complexity_Eval;Cohesion_Eval;Coupling_Eval;Encapsulation_Eval;Confidentiality_Eval;Integrity_Eval;Availability_Eval;Security_Index
0 retrofit-0129ad5e3bcc6483d94606bfad290d3e83b60a2a;2017-01-27;0.041167418;0.046443883;0.002198527;0.010772782;0.000439705;0.000714521;0.000989337;17.05485325;57.35445751;17.3189513;1.403594592;0.652621704;0.704641344;0.488372093;0.44;0.633578836;0.744813832;0.380952381;0.668401146;0.922913941;0.424916988;0.592096893;0.599738404;0.582607154;0.613073764;0.59841326
1 retrofit-90729eb2ae2f3329281c1f9813ab1de3daa71ad0;2017-02-03;0.041323228;0.046301931;0.002268075;0.011119102;0.000442551;0.000940422;0.000885103;16.71245229;56.27731371;17.42861094;1.404049344;0.651225552;0.70591789;0.476744186;0.42;0.631207243;0.664135168;0.404761905;0.675942885;0.924387343;0.423054724;0.591964736;0.590328759;0.571512126;0.594432265;0.585365841
2 retrofit-02767551fa84eb0999a7f804ef41dfb9670a1784;2017-02-10;0.041239967;0.046221976;0.002214226;0.011126488;0.000442845;0.000941046;0.000885691;16.60132854;55.73866593;17.40066427;1.420260172;0.651971624;0.706636905;0.476744186;0.42;0.630962266;0.663912064;0.404761905;0.678390501;0.925124147;0.423530051;0.587253655;0.590440562;0.571531908;0.594601995;0.585466269
3 retrofit-be51f1d82264db1cf3ab739e91d366e5930b35fb;2017-02-17;0.041313733;0.046395978;0.002349855;0.010984207;0.000437182;0.000929013;0.00098366;16.5514509;55.10098913;17.86802558;1.433357014;0.651310636;0.705072141;0.465116279;0.43;0.635681367;0.668209816;0.380952381;0.679489108;0.925996412;0.415595483;0.58344754;0.588691731;0.571664488;0.592726679;0.58430253
4 retrofit-6a84e8bddcab818eafeeec7ec52d260402f358b8;2017-02-24;0.040661939;0.045757815;0.002206462;0.01061203;0.000472813;0.000893092;0.000998161;16.55786709;53.81292356;17.64502233;1.501287103;0.657151088;0.71081102;0.476744186;0.445;0.605988968;0.681038688;0.380952381;0.679347785;0.927758329;0.419381124;0.56370616;0.591727519;0.573591449;0.595156172;0.586766364
5 retrofit-c30a8b43295dee48434d8dceacb764a2c09c7af6;2017-03-03;0.041063685;0.046288073;0.002194243;0.010866726;0.000470195;0.000888146;0.000992634;16.55435975;54.134319;17.82001985;1.503004023;0.653551207;0.706042511;0.488372093;0.435;0.608170942;0.682805048;0.380952381;0.679425038;0.927318699;0.41641033;0.563207201;0.590860584;0.571927926;0.59543556;0.586016083
6 retrofit-3c195a0cc0c95b82b59bf3f88f6eabed3eeb3621;2017-03-10;0.041948284;0.04670126;0.002180264;0.010596084;0.000436053;0.001046527;0.000872106;16.5222605;52.18004622;16.39894475;1.378057821;0.645624694;0.702326797;0.488372093;0.45;0.636622625;0.626240415;0.404761905;0.680132057;0.929991907;0.440534879;0.599518215;0.592216617;0.577124479;0.589894842;0.586353338
7 retrofit-4411f743c0189607a6cf59fc752ce37d97ee9839;2017-03-17;0.041926346;0.046676836;0.002179124;0.010590543;0.000435825;0.00104598;0.00087165;16.52617128;52.16844628;16.40553497;1.37733711;0.645821276;0.70254644;0.488372093;0.45;0.636812668;0.626435887;0.404761905;0.680045918;0.930007775;0.440422837;0.599727663;0.592336676;0.57723006;0.590011041;0.586467273
8 retrofit-90c6be40cff0586ee9209f37a56f8bd92731c5d5;2017-03-24;0.041777044;0.046510618;0.002171364;0.010552829;0.000434273;0.001042255;0.000868546;16.55278586;52.08950363;16.45038433;1.372432362;0.647159101;0.704041205;0.488372093;0.45;0.638105992;0.627766163;0.404761905;0.679459704;0.930115759;0.439662314;0.601153048;0.593153784;0.577948619;0.590801929;0.587242713
9 retrofit-be0b6fd07fa45c5c09c8ec39dcf7250198e61691;2017-03-31;0.041771023;0.04678015;0.002249862;0.010655007;0.000424502;0.001103706;0.000849005;16.45663709;51.24850363;16.40298001;1.357176211;0.647213051;0.701617354;0.476744186;0.445;0.646248107;0.60581932;0.404761905;0.681577481;0.931266145;0.440466975;0.605586687;0.589810888;0.57487556;0.585439789;0.583317075
10 retrofit-9d0d1fd55e35d6ab9fcd8d31ba8d02fefa47c0c7;2017-04-07;0.041771023;0.04678015;0.002249862;0.010655007;0.000424502;0.001103706;0.000849005;16.45663709;51.24850363;16.40298001;1.357176211;0.647213051;0.701617354;0.476744186;0.445;0.646248107;0.60581932;0.404761905;0.681577481;0.931266145;0.440466975;0.605586687;0.589810888;0.57487556;0.585439789;0.583317075
11 retrofit-0104728017a5c1e2ac8d5fa474e70436f186dcdc;2017-04-14;0.039734547;0.043991819;0.002212112;0.011018824;0.00041738;0.001085187;0.001001711;18.08393506;67.63825702;17.09374348;2.063483451;0.665461053;0.726692272;0.476744186;0.425;0.652183591;0.612433145;0.357142857;0.645734545;0.908846951;0.428739976;0.454628453;0.585934427;0.566703788;0.583418617;0.578627742
12 retrofit-78897005be619c3b63d238bf5d0de0f1580d95d4;2017-04-21;0.039748019;0.044056086;0.002357244;0.010973379;0.000406421;0.001219264;0.001097338;17.42186547;61.6276773;17.00138183;2.078886405;0.665340334;0.726114333;0.465116279;0.43;0.661315451;0.564548437;0.357142857;0.660317319;0.917068694;0.430308555;0.45259077;0.58219666;0.564469171;0.573675898;0.573389898
13 retrofit-6b2bb3ad958e003488b8308df7927555a2b1008b;2017-04-28;0.039748019;0.044056086;0.002357244;0.010973379;0.000406421;0.001219264;0.001097338;17.42186547;61.6276773;17.00138183;2.078886405;0.665340334;0.726114333;0.465116279;0.43;0.661315451;0.564548437;0.357142857;0.660317319;0.917068694;0.430308555;0.45259077;0.58219666;0.564469171;0.573675898;0.573389898
