date;bugs;new_bugs;new_reliability_rating;new_reliability_remediation_effort;reliability_rating;reliability_remediation_effort;new_security_rating;new_security_remediation_effort;new_vulnerabilities;security_rating;security_remediation_effort;vulnerabilities;code_smells;development_cost;effort_to_reach_maintainability_rating_a;new_code_smells;new_maintainability_rating;new_sqale_debt_ratio;new_technical_debt;sqale_debt_ratio;sqale_index;sqale_rating;normalized_td;branch_coverage;conditions_by_line;conditions_to_cover;coverage;coverage_line_hits_data;covered_conditions_by_line;executable_lines_data;it_branch_coverage;it_conditions_by_line;it_conditions_to_cover;it_coverage;it_coverage_line_hits_data;it_covered_conditions_by_line;it_line_coverage;it_lines_to_cover;it_uncovered_conditions;it_uncovered_lines;line_coverage;lines_to_cover;new_branch_coverage;new_conditions_to_cover;new_coverage;new_it_branch_coverage;new_it_conditions_to_cover;new_it_coverage;new_it_line_coverage;new_it_lines_to_cover;new_it_uncovered_conditions;new_it_uncovered_lines;new_line_coverage;new_lines_to_cover;new_overall_branch_coverage;new_overall_conditions_to_cover;new_overall_coverage;new_overall_line_coverage;new_overall_lines_to_cover;new_overall_uncovered_conditions;new_overall_uncovered_lines;new_uncovered_conditions;new_uncovered_lines;overall_branch_coverage;overall_conditions_by_line;overall_conditions_to_cover;overall_coverage;overall_coverage_line_hits_data;overall_covered_conditions_by_line;overall_line_coverage;overall_lines_to_cover;overall_uncovered_conditions;overall_uncovered_lines;skipped_tests;test_data;test_errors;test_execution_time;test_failures;test_success_density;tests;uncovered_conditions;uncovered_lines;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;duplications_data;new_duplicated_blocks;new_duplicated_lines;new_duplicated_lines_density;classes;comment_lines;comment_lines_data;comment_lines_density;directories;files;functions;generated_lines;generated_ncloc;lines;ncloc;ncloc_data;ncloc_language_distribution;new_lines;projects;statements;team_size;class_complexity;class_complexity_distribution;cognitive_complexity;complexity;complexity_in_classes;complexity_in_functions;file_complexity;file_complexity_distribution;function_complexity;function_complexity_distribution;blocker_violations;confirmed_issues;critical_violations;false_positive_issues;info_violations;major_violations;minor_violations;new_blocker_violations;new_critical_violations;new_info_violations;new_major_violations;new_minor_violations;new_violations;open_issues;reopened_issues;violations;wont_fix_issues;commented_out_code_lines;public_api;public_documented_api_density;public_undocumented_api
2017-03-10;29.0;;;;5.0;205.0;;;;5.0;1010.0;52.0;515.0;876270.0;0.0;;;;;1.4;11955.0;1.0;0.4092916566811599;;;;0.0;;;;;;;;;;;;;;0.0;18226.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18226.0;521.0;37.0;1618.0;3.5;;;;;292.0;4893.0;;14.3;46.0;285.0;1803.0;;;46269.0;29209.0;;"java=28212;xml=997";;;13961.0;;20.9;;6613.0;6101.0;;;22.7;"0=47;5=58;10=71;20=28;30=44;60=11;90=10";3.4;"1=935;2=337;4=202;6=107;8=68;10=33;12=88";4.0;0.0;186.0;0.0;27.0;265.0;114.0;;;;;;;596.0;0.0;596.0;0.0;;;;
2017-03-17;29.0;;;;5.0;205.0;;;;5.0;1010.0;52.0;515.0;876270.0;0.0;;;0.0;;1.4;11955.0;1.0;0.4092916566811599;;;;0.0;;;;;;;;;;;;;;0.0;18226.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18226.0;521.0;37.0;1618.0;3.5;;;;;292.0;4893.0;;14.3;46.0;285.0;1803.0;;;46269.0;29209.0;;"java=28212;xml=997";;;13961.0;;20.9;;6613.0;6101.0;;;22.7;"0=47;5=58;10=71;20=28;30=44;60=11;90=10";3.4;"1=935;2=337;4=202;6=107;8=68;10=33;12=88";4.0;0.0;186.0;0.0;27.0;265.0;114.0;;;;;;;596.0;0.0;596.0;0.0;;;;
2017-03-24;29.0;;;;5.0;205.0;;;;5.0;1010.0;52.0;516.0;878010.0;0.0;;;0.0;;1.4;11961.0;1.0;0.40868555027847064;;;;0.0;;;;;;;;;;;;;;0.0;18259.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18259.0;521.0;37.0;1618.0;3.5;;;;;293.0;4909.0;;14.4;46.0;285.0;1806.0;;;46342.0;29267.0;;"java=28270;xml=997";;;13996.0;;20.9;;6630.0;6119.0;;;22.7;"0=47;5=58;10=71;20=28;30=43;60=12;90=10";3.4;"1=935;2=339;4=202;6=106;8=69;10=33;12=89";4.0;0.0;187.0;0.0;27.0;265.0;114.0;;;;;;;597.0;0.0;597.0;0.0;;;;
2017-03-31;29.0;;;;5.0;205.0;;;;5.0;1010.0;52.0;514.0;877230.0;0.0;;;0.0;;1.4;11923.0;1.0;0.4077493929756164;;;;0.0;;;;;;;;;;;;;;0.0;18239.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18239.0;519.0;36.0;1592.0;3.4;;;;;293.0;4914.0;;14.4;46.0;285.0;1806.0;;;46320.0;29241.0;;"java=28244;xml=997";;;13980.0;;20.9;;6609.0;6113.0;;;22.7;"0=47;5=58;10=72;20=27;30=43;60=12;90=10";3.4;"1=935;2=340;4=201;6=106;8=69;10=33;12=89";4.0;0.0;186.0;0.0;27.0;264.0;114.0;;;;;;;595.0;0.0;595.0;0.0;;;;
2017-04-07;29.0;;;;5.0;205.0;;;;5.0;1010.0;52.0;517.0;879000.0;0.0;;;0.0;;1.4;11968.0;1.0;0.4084641638225256;;;;0.0;;;;;;;;;;;;;;0.0;18259.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18259.0;519.0;36.0;1592.0;3.4;;;;;296.0;4921.0;;14.4;46.0;288.0;1810.0;;;46483.0;29300.0;;"java=28289;xml=1011";;;13992.0;;20.7;;6612.0;6116.0;;;22.5;"0=50;5=58;10=72;20=27;30=43;60=12;90=10";3.3;"1=938;2=340;4=201;6=106;8=69;10=33;12=89";4.0;0.0;188.0;0.0;27.0;265.0;114.0;;;;;;;598.0;0.0;598.0;0.0;;;;
2017-04-14;29.0;;;;5.0;205.0;;;;5.0;1010.0;52.0;509.0;877740.0;0.0;;;0.0;;1.3;11808.0;1.0;0.4035819263107526;;;;0.0;;;;;;;;;;;;;;0.0;18222.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18222.0;519.0;36.0;1592.0;3.4;;;;;288.0;4916.0;;14.4;46.0;288.0;1800.0;;;46433.0;29258.0;;"java=28247;xml=1011";;;13984.0;;21.2;;6609.0;6111.0;;;22.5;"0=50;5=58;10=72;20=27;30=43;60=12;90=10";3.4;"1=930;2=338;4=201;6=106;8=69;10=33;12=89";4.0;0.0;180.0;0.0;27.0;265.0;114.0;;;;;;;590.0;0.0;590.0;0.0;;;;
2017-04-21;29.0;;;;5.0;205.0;;;;5.0;1010.0;52.0;510.0;878190.0;0.0;;;0.0;;1.3;11823.0;1.0;0.40388754142042155;;;;0.0;;;;;;;;;;;;;;0.0;18223.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18223.0;519.0;36.0;1592.0;3.4;;;;;288.0;4959.0;;14.5;46.0;288.0;1801.0;;;46534.0;29273.0;;"java=28262;xml=1011";;;13985.0;;21.2;;6607.0;6108.0;;;22.5;"0=50;5=58;10=72;20=27;30=43;60=12;90=10";3.4;"1=932;2=338;4=201;6=105;8=69;10=33;12=89";4.0;0.0;180.0;0.0;29.0;265.0;113.0;;;;;;;591.0;0.0;591.0;0.0;;;;
2017-04-28;29.0;;;;5.0;205.0;;;;5.0;1010.0;52.0;510.0;877050.0;0.0;;;0.0;;1.3;11824.0;1.0;0.404446724816145;;;;0.0;;;;;;;;;;;;;;0.0;18227.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18227.0;519.0;36.0;1592.0;3.4;;;;;288.0;4963.0;;14.5;46.0;288.0;1801.0;;;46527.0;29235.0;;"java=28269;xml=966";;;13987.0;;21.2;;6616.0;6111.0;;;22.5;"0=50;5=58;10=72;20=26;30=44;60=12;90=10";3.4;"1=932;2=338;4=201;6=104;8=70;10=33;12=89";4.0;0.0;181.0;0.0;29.0;264.0;113.0;;;;;;;591.0;0.0;591.0;0.0;;;;
2017-05-05;29.0;;;;5.0;205.0;;;;5.0;1010.0;52.0;510.0;877170.0;0.0;;;0.0;;1.3;11826.0;1.0;0.4044597968466774;;;;0.0;;;;;;;;;;;;;;0.0;18228.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18228.0;519.0;36.0;1592.0;3.4;;;;;288.0;4964.0;;14.5;46.0;288.0;1801.0;;;46534.0;29239.0;;"java=28271;xml=968";;;13989.0;;21.2;;6618.0;6112.0;;;22.5;"0=50;5=58;10=72;20=26;30=44;60=12;90=10";3.4;"1=932;2=338;4=201;6=104;8=70;10=33;12=89";4.0;0.0;181.0;0.0;29.0;264.0;113.0;;;;;;;591.0;0.0;591.0;0.0;;;;
2017-05-12;29.0;;;;5.0;205.0;;;;5.0;1010.0;52.0;510.0;879480.0;0.0;;;0.0;;1.3;11826.0;1.0;0.4033974621367172;;;;0.0;;;;;;;;;;;;;;0.0;18240.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18240.0;519.0;36.0;1592.0;3.4;;;;;288.0;4964.0;;14.5;46.0;288.0;1801.0;;;46741.0;29316.0;;"java=28283;xml=1033";;;13989.0;;21.2;;6618.0;6112.0;;;22.5;"0=50;5=58;10=72;20=26;30=44;60=12;90=10";3.4;"1=932;2=338;4=201;6=104;8=70;10=33;12=89";4.0;0.0;181.0;0.0;29.0;264.0;113.0;;;;;;;591.0;0.0;591.0;0.0;;;;
