Project_Name;date;Resource_Handling;Assignment;Exception_Handling;Misused_Functionality;Synchronization;Null_Pointer;Logging;Complexity;Cohesion;Coupling;Encapsulation;Resource_Handling_Eval;Assignment_Eval;Exception_Handling_Eval;Misused_Functionality_Eval;Synchronization_Eval;Null_Pointer_Eval;Logging_Eval;Complexity_Eval;Cohesion_Eval;Coupling_Eval;Encapsulation_Eval;Confidentiality_Eval;Integrity_Eval;Availability_Eval;Security_Index
0 zxing-d5058a71c614df2715230170b90b0af553ae8863;10/03/2017;0.006389239;0.008652267;5.29667E-05;0.000594058;5.7121E-05;9.65863E-05;3.42726E-05;40.60506673;108.2653476;9.788521595;3.662737091;0.964254132;1;1;0.968733791;1;1;1;0.289022808;0.853274021;0.620482258;0.243013655;0.925358943;0.9226841;0.936262813;0.928009142
1 zxing-48366e74e17b42ae1b897ad90aef74af4ac741d5;17/03/2017;0.006389239;0.008652267;5.29667E-05;0.000594058;5.7121E-05;9.65863E-05;3.42726E-05;40.60506673;108.2653476;9.788521595;3.662737091;0.964254132;1;1;0.968733791;1;1;1;0.289022808;0.853274021;0.620482258;0.243013655;0.925358943;0.9226841;0.936262813;0.928009142
2 zxing-f0dfcdfed5c97adb5a80d1d74eca46a9014e2c95;24/03/2017;0.006383965;0.008647871;5.29144E-05;0.000593471;5.70645E-05;9.64909E-05;3.42387E-05;40.67265083;108.3405072;9.786356595;3.669235263;0.964301385;1;1;0.968764674;1;1;1;0.288126083;0.853171212;0.620566199;0.242153594;0.92531468;0.922627322;0.936235259;0.927966281
3 zxing-1f14baf6f23091732edc747ce81b1e3e984354a8;31/03/2017;0.006388394;0.008652096;5.29339E-05;0.00059369;5.70856E-05;9.65265E-05;3.42513E-05;40.65317821;108.3804265;9.780019222;3.670587234;0.964261706;1;1;0.968753165;1;1;1;0.288384754;0.853116607;0.62081191;0.241981581;0.925308513;0.922625012;0.936245203;0.92796677
4 zxing-c2eb20d976f6b47521e8c9615e27ec26b3261867;07/04/2017;0.006389478;0.008650386;5.29171E-05;0.000595577;5.70674E-05;9.64959E-05;3.63156E-05;40.64267067;108.346582;9.777692234;3.669664609;0.964251989;1;1;0.968653866;1;1;1;0.288524038;0.853162902;0.620902131;0.242100667;0.9253065;0.922614082;0.936249298;0.927963821
5 zxing-7cf49565c2d5f0f875e2df2d9eca29e7c0f4139f;14/04/2017;0.006407569;0.00867243;5.30583E-05;0.000597166;5.72197E-05;9.67534E-05;3.64126E-05;40.62344844;108.5559271;9.786862767;3.706870632;0.964089885;1;1;0.968570218;1;1;1;0.288778729;0.852876543;0.620546574;0.237178469;0.925029538;0.922350506;0.936138366;0.927746686
6 zxing-032e1547aee5759104a407061cffeb94f9d65a61;21/04/2017;0.006407989;0.008671958;5.30618E-05;0.000597205;5.72235E-05;9.67597E-05;3.64149E-05;40.62211178;108.559707;9.939567848;3.707113606;0.964086122;1;1;0.968568158;1;1;1;0.288795974;0.852871373;0.614625936;0.237138774;0.924861786;0.922238798;0.935832021;0.927551437
7 zxing-c044a946e92cb18dbbf44926526824de48b4bbb0;28/04/2017;0.007429404;0.010056303;6.15396E-05;0.000692623;6.63663E-05;0.000112219;4.22331E-05;32.97064197;119.2148591;10.20264283;2.955149662;0.954933653;1;1;0.963546172;1;0.959921657;1;0.390294407;0.838296418;0.604426069;0.336641262;0.925242928;0.924455342;0.928673793;0.926031409
8 zxing-19ce4cfb3baf1fdcc0e946351c5511e6fed9637a;05/05/2017;0.007429279;0.010056133;6.15386E-05;0.000692611;6.63652E-05;0.000112217;4.22324E-05;32.9707945;119.2133761;10.20275041;2.955331416;0.954934777;1;1;0.963546788;1;0.959922334;1;0.390293081;0.838298446;0.604421898;0.336614798;0.925241994;0.924454336;0.928673648;0.926030714
9 zxing-a1a51de290b744d9f4bc106ca7ef3b5b45928b67;12/05/2017;0.007431692;0.01005734;6.15386E-05;0.000692611;6.63652E-05;0.000111011;4.22324E-05;32.9707945;119.2133761;10.20275041;2.955331416;0.954913153;1;1;0.963546788;1;0.960353276;1;0.390293081;0.838298446;0.604421898;0.336614798;0.925272005;0.924486621;0.928765274;0.926082016
